exrna_id,title,pi,organization,grant,funding_source,genome,exp_type,platform,sample_count
EXR-JFREE1UH2qPCR-AN,Diverse human extracellular RNAs are widely detected in human plasma.,"Freedman, Jane",University of Massachusetts Medical School,1UH2TR000921-01,NIH Common Fund,Human,qPCR,Human – qPCR,2940
EXR-LLAUR1SFszrF-AN,Long_NEB,"Laurent, Louise","University of California, San Diego",1U01HL126494-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,907
EXR-KJENS1WBaSro-AN,Profiles of Extracellular RNA in Cerebrospinal Fluid and Plasma from Subarachnoid Hemorrhage Patients,"Jensen, Kendall",Translational Genomics Research Institute,5UH2TR000891-02,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,523
EXR-KJENS1RID1-AN,"Total Extracellular Small RNA Profiles from Plasma, Saliva, and Urine of Healthy Subjects.","Jensen, Kendall",Translational Genomics Research Institute,3UH3TR000891-03S1,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,428
EXR-KJENS1yrpQwk-AN,Small RNA Sequencing of Biofluids from Parkinson's patients with dementia (PDD),"Jensen, Kendall",Translational Genomics Research Institute,Non-ERCC Funded Study,Michael J. Fox Foundation for Parkinson's Research,Human,Small RNA-seq,Human – Small RNA-seq,407
EXR-JFREE1dXQ2sI-AN,MESA PLASMA RNA-seq,"Freedman, Jane",University of Massachusetts,1U01HL126495-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,398
EXR-KJENS1sPlvS2-AN,Profiles of Extracellular miRNA in Cerebrospinal Fluid and Serum from Patients with Alzheimer's and Parkinson's Diseases Correlate with Disease Status and Features of Pathology,"Jensen, Kendall",Translational Genomics Research Institute,Non-ERCC Funded Study,Michael J Fox Foundation for Parkinsons Research,Human,Small RNA-seq,Human – Small RNA-seq,345
EXR-TTUSC1gCrGDH-AN,"exRNA reference profiling at 12 intervals over 2 months, addressing the effect of biofluid (serum vs. EDTA plasma), gender, fasting and female hormonal cycle","Tuschl, Thomas",Rockefeller University,1U19CA179564-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,312
EXR-MBITZ1KPWIgP-AN,Identifying urinary RNA from prospective urine as non-invasive biomarkers for kidney transplant patients,"Bitzer, Markus",University of Michigan,4UH3TR000933-03,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,228
EXR-LLAUR18RWng7-AN,PreE_Prediction,"Laurent, Louise","University of California, San Diego",4UH3TR000906-03,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,212
EXR-ANACC1S6lJ1C-AN,Small non-coding RNA profiling in human biofluids and surrogate tissues from healthy individuals,"Naccarati, Alessio",University of Turin,Non-ERCC Funded Study,"Italian Institute for Genomic Medicine (IIGM) and Compagnia di San Paolo Torino, Italy; Fondazione Umberto Veronesi ""Post-doctoral fellowship Year 2014, 2015, 2016 and 2017""; Italian Association on Cancer Research (IG2013 N.14119); Lega Italiana per La Lotta contro i Tumori; and Grant Agency of the Czech Republic (17-16857S).",Human,Small RNA-seq,Human – Small RNA-seq,209
EXR-MBITZ1WCKgCw-AN,Identifying urinary RNA from biopsy associated urine as non-invasive biomarkers for kidney transplant patients,"Bitzer, Markus",University of Michigan,4UH3TR000933-03,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,207
EXR-DWONG1qf3tcS-AN,Identifying novel small RNA biomarkers unique to patients with gastric cancer,"Wong, David",University of California-Los Angeles,1UH2TR000923-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,198
EXR-LLAUR1AVB5CS-AN,RNA Isolation Methods - Diverse Biofluids,"Laurent, Louise","""University of California, San Diego""",4UH3TR000906-03,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,197
EXR-MTEWA1cHYLo6-AN,ULMC Plasma and serum exRNA from healthy donors at University of Michigan,"Tewari, Muneesh",University of Michigan,1U01HL126499-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,197
EXR-RGAND1UH2001-AN,Search for Novel miRNA Serum Biomarkers in Multiple Sclerosis,"Gandhi, Roopali",Brigham and Women's Hospital,1UH2TR000890-01,NIH Common Fund,Human,qPCR,Human – qPCR,193
EXR-TPATE1OqELFf-AN,Plasma extracellular RNA profiles in healthy and cancer patients,"Patel, Tushar",Mayo Clinic,1UH2TR000884-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,192
EXR-KJENS10lPClY-AN,Blood-Based Extracellular RNAs Are Biomarkers Predictive of Stroke Subtype,"Jensen, Kendall",Translational Genomics Research Institute,5UH2TR000891-02,BNI Foundation and NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,187
EXR-MTEWA1vczugX-AN,Plasma Time Course Feeding Study,"Tewari, Muneesh",University of Michigan,5U01HL126499-02,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,163
EXR-LLAUR1Et8vxH-AN,Long_NEB,"Laurent, Louise","University of California, San Diego",1U01HL126494-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,141
EXR-MTEWA1ZR3Xg6-AN,Healthy Controls Plasma & Serum Study,"Tewari, Muneesh",University of Michigan,5U01HL126499-02,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,130
EXR-JSAUG1UH3001-AN,Validation Study for Candidate AD miRNA Biomarkers in Human CSF,"Saugstad, Julie",Oregon Health and Sciences University,4UH3TR000903-03,NIH Common Fund,Human,qPCR,Human – qPCR,119
EXR-DERLE1PHASE1PROT-AN,Large differences in small RNA composition between 12 human biofluids - protected access,"Erle, David",University of California-San Francisco,1U01HL126493-01,NIH Common Fund,Human,Small RNA-seq,Human – Small RNA-seq,117
EXR-JSAUG1UH2001-AN,TLDA miRNA Screen for Candidate AD Biomarkers in CSF from Living Donors,"Saugstad, Julie",Oregon Health and Sciences University,1UH2TR000903-01,NIH Common Fund,Human,qPCR,Human – qPCR,99
