	sample_BFPExiqon2_56_S93_L003_R1_001_115_180_fastq	sample_BFPExiqon3_57_S94_L003_R1_001_115_180_fastq	sample_BFPExoQuick1_85_S118_L003_R1_001_115_180_fastq	sample_BFPExoQuick2_86_S119_L003_R1_001_115_180_fastq	sample_BFPExoQuick3_87_S120_L003_R1_001_115_180_fastq	sample_BFPExoRNeasy1_49_S87_L003_R1_001_115_180_fastq	sample_BFPExoRNeasy2_50_S88_L003_R1_001_115_180_fastq	sample_BFPExoRNeasy3_51_S89_L003_R1_001_115_180_fastq	sample_BFPME1_79_fastq	sample_BFPME2_80_fastq	sample_BFPME3_81_S114_L003_R1_001_115_180_fastq	sample_BFPMillipore1_67_fastq	sample_BFPMillipore2_68_S102_L003_R1_001_115_180_fastq	sample_BFPMillipore3_69_S103_L003_R1_001_115_180_fastq	sample_BFPUltra1_73_fastq	sample_BFPUltra2_74_S108_L003_R1_001_115_180_fastq	sample_BFPUltra3_75_S109_L003_R1_001_115_180_fastq	sample_BFPmiRCury1_91_S124_L003_R1_001_115_180_fastq	sample_BFPmiRCury2_92_S125_L003_R1_001_115_180_fastq	sample_BFPmiRCury3_93_S126_L003_R1_001_115_180_fastq	sample_BFPmiRNeasy1_61_S104_L007_R1_001_125_160_fastq	sample_BFPmiRNeasy2_62_S98_L003_R1_001_115_180_fastq	sample_BFPmiRNeasy3_63_S152_L008_R1_001_125_160_fastq	sample_BFSExiqon1_7_S6_L005_R1_001_125_160_fastq	sample_BFSExiqon2_8_S7_L005_R1_001_125_160_fastq	sample_BFSExiqon3_9_S8_L005_R1_001_125_160_fastq	sample_BFSExoQuick1_37_S36_L005_R1_001_125_160_fastq	sample_BFSExoQuick2_38_S37_L005_R1_001_125_160_fastq	sample_BFSExoQuick3_39_S38_L005_R1_001_125_160_fastq	sample_BFSExoRNeasy1_1_S1_L005_R1_001_125_160_fastq	sample_BFSExoRNeasy2_2_S2_L005_R1_001_125_160_fastq	sample_BFSExoRNeasy3_3_S3_L005_R1_001_125_160_fastq	sample_BFSME1_31_S122_L007_R1_001_125_160_fastq	sample_BFSME2_32_S78_L006_R1_001_125_160_fastq	sample_BFSME3_33_S32_L005_R1_001_125_160_fastq	sample_BFSMillipore1_19_S18_L005_R1_001_125_160_fastq	sample_BFSMillipore2_20_S19_L005_R1_001_125_160_fastq	sample_BFSMillipore3_21_fastq	sample_BFSUltra1_25_S24_L005_R1_001_125_160_fastq	sample_BFSUltra2_26_S25_L005_R1_001_125_160_fastq	sample_BFSUltra3_27_S26_L005_R1_001_125_160_fastq	sample_BFSmiRCury1_43_S174_L008_R1_001_125_160_fastq	sample_BFSmiRCury2_44_S175_L008_R1_001_125_160_fastq	sample_BFSmiRCury3_45_fastq	sample_BFSmiRNeasy2_14_S151_L008_R1_001_125_160_fastq	sample_BMPExiqon1_58_S95_L003_R1_001_115_180_fastq	sample_BMPExiqon2_59_S96_L003_R1_001_115_180_fastq	sample_BMPExiqon3_60_S97_L003_R1_001_115_180_fastq	sample_BMPExoQuick1_88_S121_L003_R1_001_115_180_fastq	sample_BMPExoQuick2_89_S122_L003_R1_001_115_180_fastq	sample_BMPExoQuick3_90_S123_L003_R1_001_115_180_fastq	sample_BMPExoRNeasy2_53_S90_L003_R1_001_115_180_fastq	sample_BMPExoRNeasy3_54_S91_L003_R1_001_115_180_fastq	sample_BMPME1_82_fastq	sample_BMPME2_83_S116_L003_R1_001_115_180_fastq	sample_BMPME3_84_S117_L003_R1_001_115_180_fastq	sample_BMPMillipore1_70_S104_L003_R1_001_115_180_fastq	sample_BMPMillipore2_71_S105_L003_R1_001_115_180_fastq	sample_BMPMillipore3_72_S106_L003_R1_001_115_180_fastq	sample_BMPUltra1_76_S110_L003_R1_001_115_180_fastq	sample_BMPUltra2_77_S120_L007_R1_001_125_160_fastq	sample_BMPUltra3_78_S111_L003_R1_001_115_180_fastq	sample_BMPmiRCury1_94_S127_L003_R1_001_115_180_fastq	sample_BMPmiRCury2_95_S138_L007_R1_001_125_160_fastq	sample_BMPmiRNeasy2_65_S154_L008_R1_001_125_160_fastq	sample_BMPmiRNeasy3_66_S109_L007_R1_001_125_160_fastq	sample_BMSExiqon1_10_S9_L005_R1_001_125_160_fastq	sample_BMSExiqon2_11_S10_L005_R1_001_125_160_fastq	sample_BMSExiqon3_12_S11_L005_R1_001_125_160_fastq	sample_BMSExoQuick1_40_S39_L005_R1_001_125_160_fastq	sample_BMSExoQuick2_41_S40_L005_R1_001_125_160_fastq	sample_BMSExoQuick3_42_S41_L005_R1_001_125_160_fastq	sample_BMSExoRNeasy2_5_S4_L005_R1_001_125_160_fastq	sample_BMSExoRNeasy3_6_S5_L005_R1_001_125_160_fastq	sample_BMSME1_34_fastq	sample_BMSME2_35_fastq	sample_BMSME3_36_S35_L005_R1_001_125_160_fastq	sample_BMSMillipore1_22_S21_L005_R1_001_125_160_fastq	sample_BMSMillipore2_23_S22_L005_R1_001_125_160_fastq	sample_BMSMillipore3_24_S23_L005_R1_001_125_160_fastq	sample_BMSUltra1_28_S27_L005_R1_001_125_160_fastq	sample_BMSUltra2_29_S28_L005_R1_001_125_160_fastq	sample_BMSUltra3_30_S29_L005_R1_001_125_160_fastq	sample_BMSmiRCury1_46_S45_L005_R1_001_125_160_fastq	sample_BMSmiRCury2_47_S178_L008_R1_001_125_160_fastq	sample_BMSmiRNeasy1_16_S153_L008_R1_001_125_160_fastq	sample_BMSmiRNeasy2_17_S108_L007_R1_001_125_160_fastq	sample_BMSmiRNeasy3_18_Idx2_S193_L001_R1_001_fastq	sample_BMSmiRNeasy3_18_S155_L008_R1_001_125_160_fastq	sample_DFPExoRNeasy1_177_fastq	sample_DFPmiRNeasy1_181_S169_L008_R1_001_125_160_fastq	sample_DMPExiqon1_180_fastq	sample_DMPExoRNeasy1_178_fastq	sample_GFPExiqon1_123_fastq	sample_GFPExoRNeasy1_121_fastq	sample_GFPME1_131_fastq	sample_GFPNor1_133_fastq	sample_GFPNor2_134_fastq	sample_GFPNor3_135_S170_L008_R1_001_125_160_fastq	sample_GFPNor_Ami1_139_fastq	sample_GFPNor_Ami2_140_fastq	sample_GFPNor_Ami3_141_fastq	sample_GFPUltra1_129_S166_L008_R1_001_125_160_fastq	sample_GFPmiRNeasy1_125_S164_L008_R1_001_125_160_fastq	sample_GFSME1_107_S148_L008_R1_001_125_160_fastq	sample_GFSNor1_109_S59_L006_R1_001_125_160_fastq	sample_GFSNor2_110_S60_L006_R1_001_125_160_fastq	sample_GFSNor3_111_S106_L007_R1_001_125_160_fastq	sample_GFSNor_Ami1_115_S65_L006_R1_001_125_160_fastq	sample_GFSNor_Ami2_116_S66_L006_R1_001_125_160_fastq	sample_GFSNor_Ami3_117_S112_L007_R1_001_125_160_fastq	sample_GFSUltra1_105_S146_L008_R1_001_125_160_fastq	sample_GMPExiqon1_124_fastq	sample_GMPExoRNeasy1_122_fastq	sample_GMPME1_132_S168_L008_R1_001_125_160_fastq	sample_GMPMillipore1_128_S165_L008_R1_001_125_160_fastq	sample_GMPNor1_136_S171_L008_R1_001_125_160_fastq	sample_GMPNor2_137_fastq	sample_GMPNor3_138_S173_L008_R1_001_125_160_fastq	sample_GMPNor_Ami1_142_fastq	sample_GMPNor_Ami2_143_S128_L003_R1_001_115_180_fastq	sample_GMPNor_Ami3_144_fastq	sample_GMPUltra1_130_S167_L008_R1_001_125_160_fastq	sample_GMPmiRNeasy1_126_S121_L007_R1_001_125_160_fastq	sample_GMSExoRNeasy1_98_S140_L008_R1_001_125_160_fastq	sample_GMSME1_108_S149_L008_R1_001_125_160_fastq	sample_GMSMillipore1_104_S145_L008_R1_001_125_160_fastq	sample_GMSNor1_112_S62_L006_R1_001_125_160_fastq	sample_GMSNor2_113_S99_L003_R1_001_115_180_fastq	sample_GMSNor3_114_S100_L003_R1_001_115_180_fastq	sample_GMSNor_Ami1_118_S68_L006_R1_001_125_160_fastq	sample_GMSNor_Ami2_119_S69_L006_R1_001_125_160_fastq	sample_GMSNor_Ami3_120_S70_L006_R1_001_125_160_fastq	sample_GMSUltra1_106_S147_L008_R1_001_125_160_fastq	sample_LUExoQuickFP1_Idx14_S94_L003_R1_001_fastq	sample_LUExoQuickFP2_Idx16_S96_L003_R1_001_fastq	sample_LUExoQuickFP3_Idx17_S97_L003_R1_001_fastq	sample_LUExoQuickMP1_Idx2_S82_L003_R1_001_fastq	sample_LUExoQuickMP2_Idx4_S84_L003_R1_001_fastq	sample_LUExoQuickMP3_Idx6_S86_L003_R1_001_fastq	sample_LUExoRNeasyFP1_Idx22_S102_L003_R1_001_fastq	sample_LUExoRNeasyFP2_Idx24_S104_L003_R1_001_fastq	sample_LUExoRNeasyFP3_Idx26_S106_L003_R1_001_fastq	sample_LUExoRNeasyMP1_Idx25_S105_L003_R1_001_fastq	sample_LUExoRNeasyMP2_Idx27_S107_L003_R1_001_fastq	sample_LUExoRNeasyMP3_Idx29_S109_L003_R1_001_fastq	sample_LUHomebrewFP1_Idx45_S149_L004_R1_001_fastq	sample_LUHomebrewFP2_Idx47_S151_L004_R1_001_fastq	sample_LUHomebrewFP3_Idx34_S138_L004_R1_001_fastq	sample_LUHomebrewMP1_Idx33_S137_L004_R1_001_fastq	sample_LUHomebrewMP2_Idx35_S139_L004_R1_001_fastq	sample_LUHomebrewMP3_Idx37_S141_L004_R1_001_fastq	sample_LUMilliporeFP1_Idx19_S131_L004_R1_001_fastq	sample_LUMilliporeFP2_Idx20_S132_L004_R1_001_fastq	sample_LUMilliporeFP3_Idx21_S133_L004_R1_001_fastq	sample_LUMilliporeMP1_Idx42_S122_L003_R1_001_fastq	sample_LUMilliporeMP2_Idx44_S124_L003_R1_001_fastq	sample_LUMilliporeMP3_Idx46_S126_L003_R1_001_fastq	sample_LUUltracentrifugeFP1_Idx45_S125_L003_R1_001_fastq	sample_LUUltracentrifugeFP2_Idx47_S127_L003_R1_001_fastq	sample_LUUltracentrifugeFP3_Idx34_S114_L003_R1_001_fastq	sample_LUUltracentrifugeMP1_Idx33_S113_L003_R1_001_fastq	sample_LUUltracentrifugeMP2_Idx35_S115_L003_R1_001_fastq	sample_LUUltracentrifugeMP3_Idx37_S117_L003_R1_001_fastq	sample_LUmiRNeasyFP1_Idx5_S85_L003_R1_001_fastq	sample_LUmiRNeasyFP2_Idx7_S87_L003_R1_001_fastq	sample_LUmiRNeasyFP3_Idx9_S89_L003_R1_001_fastq	sample_LUmiRNeasyMP1_Idx42_S146_L004_R1_001_fastq	sample_LUmiRNeasyMP2_Idx44_S148_L004_R1_001_fastq	sample_LUmiRNeasyMP3_Idx46_S150_L004_R1_001_fastq	sample_SFPExiqon1_163_fastq	sample_SFPExoQuick1_171_S162_L008_R1_001_125_160_fastq	sample_SFPExoQuick2_172_S163_L008_R1_001_125_160_fastq	sample_SFPExoQuick3_173_fastq	sample_SFPExoRNeasy1_161_fastq	sample_SFPNor1_167_fastq	sample_SFPNor_Ami2_169_S160_L008_R1_001_125_160_fastq	sample_SFSExiqon1_147_S50_L006_R1_001_125_160_fastq	sample_SFSExoQuick1_155_S57_L006_R1_001_125_160_fastq	sample_SFSExoQuick2_156_S58_L006_R1_001_125_160_fastq	sample_SFSExoQuick3_157_S12_L005_R1_001_125_160_fastq	sample_SFSExoRNeasy1_145_S48_L006_R1_001_125_160_fastq	sample_SFSNor1_151_S53_L006_R1_001_125_160_fastq	sample_SFSNor_Ami2_153_S55_L006_R1_001_125_160_fastq	sample_SFSmiRNeasy2_149_S142_L008_R1_001_125_160_fastq	sample_SMPExiqon1_164_fastq	sample_SMPExoQuick2_175_fastq	sample_SMPExoQuick3_176_S123_L007_R1_001_125_160_fastq	sample_SMPExoRNeasy1_162_fastq	sample_SMPNor1_168_fastq	sample_SMPNor_Ami2_170_S161_L008_R1_001_125_160_fastq	sample_SMSExoQuick1_158_S13_L005_R1_001_125_160_fastq	sample_SMSExoQuick2_159_S14_L005_R1_001_125_160_fastq	sample_SMSExoQuick3_160_S15_L005_R1_001_125_160_fastq	sample_SMSNor1_152_S54_L006_R1_001_125_160_fastq	sample_SMSNor_Ami2_154_S56_L006_R1_001_125_160_fastq	sample_SMSmiRNeasy2_150_S52_L006_R1_001_125_160_fastq
hsa-miR-486-5p	69993	54169	50620	5461	22189	14692	21067	18470	7328	7061	692	45477	13516	6346	13911	10381	7328	1747	1136	333	653	1	99032	233744	196847	180344	109452	108600	141510	27694.5	40616	50748	24847	32779	17127	27038	42291	42555	33256	118951	106772	56954	29208	6002	138068	76176	55624	78014	25893	24195	18316	31633	31249	6817	7167	3489	13028	27497	8892	18707	44760	15803	3951	7184	1568	41	132995	254853	254840	77932	11554	51933	53958	81469	8732	5014	20263	41718	37808	36303	60893	107239	80569	5463	11588	2669	73949	1950	448	17003	82453	8109	24127	120545	98122	22125	122151	158367	1703	23835	14569	26540	975	5029	22811	45029	41737	1372	10323	13273	6182	16144	287313	87313	52023	3814	211	63289	84521	29271	0	26472	15039	1634	21710	33430	8658	79811	0	0	0	23318	34435	18358	10	10	6	0	3	8	2	0	0	5	7	0	322	80	96	26	0	101	1	502	6	6	8	1	7	9	0	5	0	0	0	0	1	16	39	52	508162	69886	163173	118117	60914	406555	88780	135374	43849	69429	39652	26525	166420	93323.5	4511	442797	122926	39033	47950	360806	97420	103925	33516	96985	349932	74852	59544
hsa-miR-92a-3p	63228.5	37445	29448.5	2893	13951.5	12468.5	19171	16614	3931	2688	385	12796.5	5290	1469	3864.5	5629.5	3000	1213	727	216	380	0	20631	131213	113415.5	105978.5	48195	57851.5	70795.5	31765	47146	58023	18821	21464	13621.5	7735	6303	10181	23146	79095.5	62644	46356	21385	4250.5	31471	53891	36872.5	57167	17331	14914	10994.5	38746	37377	3083	4665	1934	6053	13209	4440.5	14194.5	22600	9482.5	2763	5304.5	678	22	66626	117675.5	119120	47302.5	9993	34993.5	61821.5	93025	6562.5	3143	17562	15640.5	15511	12147	50231	74144	54241.5	3167	6841	640	15743.5	86	380	16009.5	30285	3309	27242	96525	75756.5	11821.5	100685.5	157551	873	25587	19453.5	20833	530	1925.5	6911.5	45839	30963	467	8552	13196	3743	15317	229719	91774	36834.5	2788	157	53785	63452.5	32425	0	18557	2633	255	14301.5	17390	2553	68396.5	0	0	1	16453	41858	18608	14	31	16	0	12	6	440	402	214	368	255	279	557	837	740	0	0	6	0	76	1	135	266	56	441	658	498.5	68	364	401	0	0	14	24	40	84	271373	42674	75513.5	74208.5	58448.5	320980	81982.5	94056	26982.5	41900.5	20811.5	18586	72878.5	74000	4538.5	269576	92017	22061.5	49176.5	208208.5	67068	64739.5	18420.5	59617	328283	47846	22363
hsa-miR-122-5p	60223	70478	157585	13497	47856	1448	2002	1432	4914	4177	254	82904	28387	34199	1909	1677	1350	4115	2894	860	706	2	254880	122995.5	125042	133897	129872	114887	151696	2212	3392	3412	6059	9152.5	3350	34832	124047	38093	2943	15382	11959	95757	46053	12449	164266	63048	100452	66064	42686	41305	51661	2236	2055	3369	2663	1106	23848	39233	19978	2829	3343	1308	4679	15129	3529	21	58738	169807	112216	118326	22776	85762	4490	7791	1381	1442	1300	74122	69873	79654	8081	20560	21206	7034	13737	21178	47677	3739	691	2059	84830	16190	1969	305063	7794	13501	264426	343298	1625	52459	54599	72775	18662	12719	15822	98297	87573	684	38327	55530	22230	1872	402515	9834	20916	6094	892	24696	34920	44491	0	40240	51657	39	1866	18701	7857	124826	0	3	2	48903	53158	813	0	0	1	0	6	0	419	15	0	13	0	17	62	43	14	26	1	9	1	36	2	23	7	1	27	22	0	0	5	0	0	0	11	39	16	28	764910	124889	181292	191505	7263	772707	166536	141952	180004	114285.5	46770	2033	366535	202921	504	361280	201607	123751	7066	456539	147973	171097	36285	152793	507808	80378	87228
hsa-miR-21-5p	53395	26931	18571	1726	14560	62345	91419	74620	6388	2597	768	8533	3384	990	5665	6698	5492	886	522	203	15	1	36363	66917	52020	80026	91746	92635	106977	151014	280436	292834	56421	53803	41307	3339	6650	3885	82235	227785	150175	55387	28236	5813	43272	43447	41227	49959	10465	8411	6278	229409	152352	4677	5421	4394	5083	9162	4472	43259	47152	17820	1925	4380	483	39	27278	68314	45011	135661	26736	89985	235210	329398	20931	9420	64907	16096	13658	8647	213361	255029	230554	3465	6188	1882	10055	155	143	78680	21046	13547	94838	104648	282606	12668	123155	171266	2701	40157	27264	36267	1250	1402	9503	92682	87684	1743	27983	39388	13230	3410	189819	564329	42205	2838	296	50577	68850	50335	0	29518	4404	93	33766	38364	4947	89261	0	0	1	33100	51326	2661	1	117	71	0	114	108	1908	2073	690	1923	1250	1894	465	672	928	0	0	3	0	55	0	493	1095	64	446	1364	1066	309	1703	1385	0	0	101	37	55	67	381032	101260	148665	208824	281484	819731	157087	85338	16127	22933	38439	85911	151056	98080	1388	192027	256708	10741	172373	334017	79553	37222	35846	31593	890398	91887	8238
hsa-let-7b-5p	39357	20649	61773	6748.5	31675	23836.5	31379	32642.5	6163	5037.5	721	17460.7	7089	2381.5	9415.5	12314.5	8391	1670.5	1131.5	399.5	11	1	22923.6666666667	50179.7	50776.5	47568.5	152242	133138.2	176661.333333333	61396.5	80570	114830.25	17408.5	24229.5	20443.5	11810.5	19105.25	14584	40251.5	160320	122674.5	46566	23611	4961	26661	46312	27853	49806.25	40384.5	39874.5	24230.5	48080	59675.5	5518.5	6943	4193	7495	14280.5	5312	27952.8333333333	70940.5	24980.5	3421.5	9786	299	35	27062.5	71032.8333333333	51330.5	114794.033333333	17112	66165	117642.5	229956.5	7395.5	4681.5	21418.75	17159.5	16386	18558	70086	122873.7	97852	4592.5	9580	343	13352.5	126	91	28773.5	50961.3333333333	10606	30939.5	79606	125368.2	19670.5	98599.3333333333	84228.4	1446.5	10378.8333333333	7677	13184	668.5	2008.5	7705	41965.5	50892.5	1628.5	7107.5	12261.5	3374.5	5716	219568.25	165761	61859.5	5896	190.5	30303.8333333333	29310.5	20392.5	0	17123.2	8477.5	215	39437.5	19048.5	8462	70150	0	0	0	16203.5	24469.5	7231	176	459	707	7.5	548	560	4206.5	4656.5	1140.5	3803	2697	4550.5	2653.5	3326.5	3393.5	4	0	8	0	89	0	1292.5	1621	627	4997.5	5892.5	1957	443	3614.5	3070	2	0	108	169	221.5	399	208920.5	91181	113324	141655.5	144109.7	260767.533333333	50256.5	67999.5	66731.5	97137.5	48515.5	46877.5	56117.5	37442.8333333333	1520	170210.5	144755.333333333	42861.4333333333	146986.5	212025.7	60107	111831	41579.25	131986.25	231725.85	23291.5	17364.2
hsa-miR-423-5p	38146	29900	46664	4820	22780	13278	17649	15853	2859	1683	335	31339	14222	15925	3106	5770	3573	1006	619	157	8224	2	179174	61762	54120	54246	94331	82140	102386	33993	53339	67787	10647	9080	11485	23387	79933	29080	19268	75380	63561	33369	16608	3499	247071	44019	33145	41837	25747	26008	16697	35325	37101	3058	2156	1532	16554	25608	15480	10697	23788	12003	1911	4266	33664	4292	28880	94877	57808	93190	15112	54864	54307	79160	4859	2174	15193	41074	35438	56338	48816	111044	77219	2113	5474	46558	93769	7795	16889	17568	90534	6156	27395	64512	84842	8118	94008	106926	1600	29507	23638	41155	192307	101800	39496	31582	34042	752	27328	32784	14950	32430	140268	103494	32497	4115	7076	47516	51434	28954	0	31426	92062	1252	12052	17638	4485	45153	0	0	0	35936	34420	27431	81	595	158	3	152	146	1029	1867	735	1292	858	1201	795	1061	953	13	1	17	113	87	41	776	1082	527	886	1773	1326	297	1214	897	0	0	1135	43	49	117	285553	78084	89442	122050	81646	192626	53075	72839	44094	68598	33161	29289	106150	42023	6452	137148	119655	34561	49187	115847	43169	82245	23572	95235	205520	45739	141139
hsa-miR-30d-5p	33240.5	25051.5	13819	1504	8489	21779	33514.5	26707	3475.5	1828.5	440	10287	3485.5	1327	2555	7290	2459	834	400.5	226	568	0	33847	61954.5	42181	51014.5	38294.5	39266.5	46484	51526.5	83329.5	100080.5	25094.5	24512.5	18244.5	4135	12340.5	5083.5	29367	96749	70210	25606.5	14802.5	2890.5	53108	29920	14787	32770.5	10675	10939	5721.5	72079	61995	3314.5	3897.5	2266	8035.5	13025.5	5496	16135.5	20352.5	7846.5	1964.5	4071.5	461	93	24856.5	47894	40206	46512	8308.5	31502.5	85188	130741	8574	4280.5	23360	16651	11263	8371.5	66507	95874	68558	2389	3366	1222	17671.5	319	1084	26152	20604	6619	49985.5	47788.5	141023	7680	69096	86408.5	1330.5	18870	9759.5	15808	1588	2731	8271	36806.5	32729.5	899	8206.5	11894	6780	34521	132782.5	213393.5	29759.5	2082	403	103472.5	120323.5	19656.5	0	12693	6375.5	1558	21841.5	21975	3936.5	40151.5	1	0	3	11110.5	17773	38841	164	1340.5	599	3	500.5	602	5901.5	6673	2748	4834.5	3478	4884	5608	7560	8441.5	1	0	19	9	91	0	2723	4205.5	697	2702.5	7688.5	7053.5	1155.5	4944.5	3837	5	1	1624	332	423.5	762	237199	43593.5	61844.5	90460.5	112965	286623.5	70043.5	67591.5	15060.5	27702.5	16325.5	34296	90752	59069.5	9423.5	160184	93132.5	11401	78512	148104.5	42567.5	46786	13934	34777	409537.5	65931	27885.5
hsa-let-7a-5p	31540.3333333333	23367	26104.5	2699.5	15000.5	20470	34567.5	28036	7938	7746	641.5	12732	3064.5	867	3230	9524	4232.5	398	264	96.5	122	0	8839	76434	79716.5	90553.5	147905	170332.5	207146.5	64220.3333333333	87986.6666666667	93564.5	46183.5	62944	41527	6122	7311.5	8530	62089	177124.833333333	141970.5	24488.5	15015.5	2701	12192	29367	17119.5	34167.8333333333	13842.5	14636.5	10798.5	95808.5	73091.5	6679	8220	4935	4847.5	10374	3136.5	29484.8333333333	44059	25357.8333333333	1103.5	2808.5	182.5	56.5	37972.5	28459.5	83891.5	180822.333333333	29554.8333333333	126144	106464	174043	20141.5	12794.8333333333	39041.5	13691	12944.5	10806	114951.5	170476.5	124442.833333333	2094	3572	552.5	4331	25	186.5	22519	40559.8333333333	2774	50245.5	51648.5	122639	14967.5	64871.3333333333	60457.5	866.5	10108.8333333333	7532	7768	374	1984	2619	32934	29101.5	337	6185	10887.5	2189	19058.5	289770	226728.333333333	35592	2289	565.5	47760.3333333333	49636	15993	0	13550	1973	466	28142.5	22782.5	5152.5	45723.5	0	0	6	8721.5	22388.5	22903	40	65	160	1	175.5	125.5	1098	1360.5	261	1171.5	530.5	1021.5	1019.16666666667	1255	1212	2	0	2	0	1	0	289.5	946	183.5	1366	2402	747	148	1739.5	1574	1.5	0	7	113.5	132.5	145.5	282824.666666667	73092	183972	262469	117637	682054.833333333	139366	43010.5	17273.5	45425.8333333333	67294.3333333333	29123	51951	72665.5	3703	197474	292293.833333333	21576.3333333333	101841.833333333	393286.666666667	105999.5	58952.5	68851	58122	346418.833333333	47271.5	9641
hsa-let-7f-5p	26063	15262	15076	1550	10580	22033	34079	29629.5	6155	4681	517	7756	1522	292	2234	4823	3048	267	263	73	5	1	5458	51968.5	52467.5	68023	91369	113519	139111.5	58259	92522	98887.5	37074	43436.5	33153	2510.5	3890	3770	50264	145876	105021.5	24263	11114	2909	5244	22195	16000	26170.5	7656	7386	5788	97052	75656.5	4599	5335	3344	2109	4618	1546	23759	29364	15338	760.5	2151	138	30	26625	23269	60392	128480.5	23113	87773.5	97276.5	154482	16525	9064	36718.5	7604	6794	5216	95766.5	129353	105600	1482	2133	622	2094	25	103	25031.5	14872	3040	45627	47672	96858	8739	51502	57754	1011	8806	7080	6894	351	899	1246	34462	27568	211	5828.5	10725	2118	1627	189263	218532.5	28233	1720	114	12729.5	15731	16380	0	15953	1012	88	18763	15568	3366.5	40738.5	0	0	1	8054	20271	1609	2	54	180	0	150	107	1444	1463	453	843	623	1357	638	794	759	0	0	1	0	97	0	272	862	116	925	2351	719	135	1628	1210	3	0	1	44	67	76	193237.5	54936	124514	178149	101914	608373.5	119457	24522	9098	22927	40069.5	27603	44908.5	55061.5	508	128583	206835.5	11241	86986.5	307307	77722.5	31739	42267.5	29715.5	363458	41858	1852
hsa-let-7i-5p	23264.5	12472.5	17249.5	1675	10233.5	16384	24717.5	19785	3626	2621.5	323	8213	1827	590	4316	3718	2618	372	339	75	40	0	18702.5	31941	33234	36549.5	65669	63931.5	74917	35904.5	68233	71552	16509	19150	13276.5	2575.5	7621.5	3486	27863.5	76561.5	55617.5	20097.5	9345	2521	23210	17469	15151	21162	9616	9785	6837.5	59860.5	43879.5	2802.5	2531	1835	3608.5	6299	2879.5	15150.5	22238	7644.5	1164	3288	244	21	15172	27850.5	31662.5	73267.5	13699	49410.5	64880	108370.5	8445.5	4054	16507	7854	6593.5	5751	58123	78685.5	68471.5	1357	3682	1213	6607	307	79	24237.5	18469.5	2062	39699.5	57023.5	70257	5613.5	46425.5	60078.5	614.5	11266	9299.5	13610	1183	886	2488	28372.5	25207.5	221.5	10879.5	17346.5	5803	2683	151486.5	136649	19851	1660	458	17447	23042.5	17394	0	19456	4985	315	10864	16325.5	2695.5	34790.5	0	0	0	15602.5	22321	3783	16	155	275	0	128	107	1445	2177.5	730.5	1402.5	1063	1141	454.5	618	539	0	0	2	0	225	1	272	438.5	131	757	1153	747.5	220	785	521	2	0	153	20.5	26	48	157223	53627	83089.5	103069.5	83050	325381	71482.5	18023	15562.5	25533	23950	28300.5	66915	47773	722	84963	115655	12363.5	60538.5	179008.5	53240.5	34821	21592	32410	286583.5	48875	11522
