miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-486-5p	Plasma	7.01451686230783	14.3348120854725	37.2624313630693	4.50865550967997e-140	3.43221400674388e-138	309.649473415	0.992943548387097	180	248
hsa-miR-92a-3p	Plasma	1.35949913426967	15.0860375056177	10.8897860342781	1.0904218808211e-24	2.53460658557272e-24	44.6884191063033	0.790994623655914	180	248
hsa-miR-16-5p	Plasma	3.51070924483988	12.0716459568695	17.690314894663	1.25065042069109e-53	6.24300087049899e-53	111.067646864196	0.878046594982079	180	248
hsa-miR-22-3p	Plasma	2.28966958032439	15.0823678738497	20.1451421933752	6.38657086828301e-65	4.27408973492786e-64	136.978895590352	0.93073476702509	180	248
hsa-miR-451a	Plasma	6.33794147533353	9.68610619714238	29.8933678962202	3.00473677289725e-109	7.80612344206905e-108	238.851354344762	0.979704301075269	180	248
hsa-let-7f-5p	Plasma	-0.385296990551941	14.2056406363696	-2.28919923943807	0.0225268642313168	0.0254997403659329	-5.42360923937609	0.475582437275986	180	248
hsa-miR-423-5p	Plasma	1.59173128972819	14.4495374986557	12.9106885725038	1.08095153990609e-32	3.22695827354319e-32	63.0124445932982	0.82551523297491	180	248
hsa-miR-25-3p	Plasma	2.70446373024644	11.0563885052171	21.2079157234657	7.6503291701415e-70	6.05071488911192e-69	148.314268409419	0.933131720430108	180	248
hsa-miR-26a-5p	Plasma	0.740030318367872	14.1620194151006	4.97750067037546	9.16738601454366e-07	1.21632637970743e-06	4.0467441724997	0.679569892473118	180	248
hsa-let-7i-5p	Plasma	1.9437263464034	12.3771663559017	18.0820840317631	2.03119955532579e-55	1.06637976654604e-54	115.170924974124	0.901881720430108	180	248
hsa-let-7a-5p	Plasma	-0.444772499560386	13.6857418473647	-2.89602723374155	0.00396197505556705	0.00466700736719601	-3.86519045198779	0.448499103942652	180	248
hsa-miR-181a-5p	Plasma	1.32148328110486	13.9502839142824	14.5527141459065	1.22141687174717e-39	4.40143712955045e-39	78.9404161609378	0.866084229390681	180	248
hsa-miR-10b-5p	Plasma	-5.66657406353124	14.5127655396772	-19.6477835523767	1.27297797559371e-62	8.07545403267258e-62	131.698425853496	0.133221326164875	180	248
hsa-miR-15a-5p	Plasma	3.80832842504803	7.9048740845433	19.0150891254985	1.05581151255505e-59	6.18258856871181e-59	125.050027093268	0.889112903225806	180	248
hsa-miR-191-5p	Plasma	2.64086173918697	13.1840174629157	19.7956875215983	2.638570412414e-63	1.69146250648434e-62	133.279407906172	0.896953405017921	180	248
hsa-miR-93-5p	Plasma	3.81188681282995	9.68784974367413	29.8869767525998	3.20448417162112e-109	7.80612344206905e-108	238.786856374023	0.973364695340502	180	248
hsa-miR-126-5p	Plasma	6.80826613055866	8.75935561303072	38.0344105844443	3.92578369317487e-143	4.78160453828699e-141	316.64380489843	0.984991039426523	180	248
hsa-miR-21-5p	Plasma	0.921044176763477	12.739122785323	6.45651669689634	2.7625162532856e-10	4.18500596579833e-10	11.9522237315617	0.711021505376344	180	248
hsa-miR-103a-3p	Plasma	2.66680233684018	10.8269977557508	26.5585432145718	2.05816945143367e-94	3.29848735769237e-93	204.768123826119	0.962163978494624	180	248
hsa-miR-27b-3p	Plasma	-0.885874249910485	13.0405705748606	-7.83340208198978	3.40438562886097e-14	5.80748136688049e-14	20.7897298384656	0.296102150537634	180	248
hsa-miR-30e-5p	Plasma	1.6018507046696	12.1334933488281	11.8492290242523	2.11142096920741e-28	5.69242499940007e-28	53.2130638063971	0.812701612903226	180	248
hsa-let-7g-5p	Plasma	1.31154584592314	11.0589064140858	9.36393989494342	3.61334502906458e-19	7.07564991221971e-19	32.1375998677803	0.760663082437276	180	248
hsa-miR-30d-5p	Plasma	0.452643172836182	13.4332818569489	3.57880953944799	0.000382390461644658	0.000466684952187569	-1.69737999029822	0.627912186379928	180	248
hsa-miR-107	Plasma	2.17962528864541	8.87977388596707	18.397110634852	7.31900005162834e-57	4.05206457403787e-56	118.524321968015	0.898947132616488	180	248
hsa-miR-186-5p	Plasma	2.44497859395332	11.6011664618112	22.8787468398197	1.41480405504723e-77	1.30547828715721e-76	166.076930824072	0.955667562724014	180	248
hsa-miR-26b-5p	Plasma	0.23465019638219	11.1431049488111	1.38376482408144	0.167111633087495	0.178545586930323	-7.02227317947111	0.605981182795699	180	248
hsa-miR-101-3p	Plasma	0.906963756841007	10.5111382382971	7.08878917434249	5.21873848730072e-12	8.40796756287339e-12	15.883811691186	0.709879032258064	180	248
hsa-miR-10a-5p	Plasma	-3.50816829051137	13.4025165626016	-15.2756552505946	8.5568469270128e-43	3.34046139650692e-42	86.1806860723759	0.183333333333333	180	248
hsa-miR-192-5p	Plasma	-2.43611467863956	12.1249791087873	-15.8430316125484	2.65025209174243e-45	1.09796158086472e-44	91.9557964894105	0.161491935483871	180	248
hsa-miR-143-3p	Plasma	3.18204390694992	10.0296916789363	15.1373744080525	3.46397500743894e-42	1.31028619846603e-41	84.8292844398086	0.804614695340502	180	248
hsa-miR-148a-3p	Plasma	-0.946538802801606	12.606457742191	-8.2241369866526	2.09622923566712e-15	3.65788998430165e-15	23.5463330006972	0.273879928315412	180	248
hsa-miR-182-5p	Plasma	0.145284888541093	10.6633722940546	1.06735832792961	0.286378312418265	0.298637657984115	-7.39840443020817	0.542405913978495	180	248
hsa-let-7b-5p	Plasma	-0.309138694263301	12.4421032255272	-2.7067356708248	0.00705142089440158	0.00817964823750583	-4.36646496712511	0.418346774193548	180	248
hsa-miR-425-5p	Plasma	3.73077556748037	8.72238865892476	25.8348532852886	3.91541815736208e-91	5.07338225070959e-90	197.240328899976	0.955443548387097	180	248
hsa-miR-151a-3p	Plasma	2.4553566238721	11.948654592231	20.2293150151762	2.60476742412888e-65	1.78236332729718e-64	137.89536314232	0.909923835125448	180	248
hsa-miR-199a-3p|hsa-miR-199b-3p	Plasma	4.99070623017527	7.9993272326007	25.2313485631711	2.19389606375464e-88	2.52091076005014e-87	190.926692488362	0.942562724014337	180	248
hsa-miR-320a	Plasma	1.70036444030133	12.411398100082	13.1035277148978	1.7218322326706e-33	5.29593853382019e-33	64.8614364253519	0.84489247311828	180	248
hsa-let-7d-5p	Plasma	1.83115388992963	9.68125527038439	12.9173328167058	1.01485875995548e-32	3.04457627986643e-32	63.137879855878	0.817719534050179	180	248
hsa-miR-423-3p	Plasma	1.28258416357579	12.2653540344067	11.6637955782427	1.13562115787725e-27	2.9682115242371e-27	51.5391684889897	0.807930107526882	180	248
hsa-miR-151a-5p|hsa-miR-151b	Plasma	2.69609203921342	10.0421806501447	20.127612048803	7.69796863651474e-65	5.09572054308421e-64	136.832036530397	0.907168458781362	180	248
hsa-miR-144-5p	Plasma	4.01409812412292	5.32495623883833	22.2117502517513	1.71723052504545e-74	1.47294843627138e-73	159.01899651971	0.921908602150538	180	248
hsa-miR-146a-5p	Plasma	5.5310271247889	9.95376517794234	37.820207864953	2.75279720846009e-142	2.79408916658699e-140	314.706403874789	0.991017025089606	180	248
hsa-miR-142-5p	Plasma	4.8285428657802	9.53859645766388	20.03718495586	2.01699607665424e-64	1.32080710826068e-63	135.873116809466	0.877374551971326	180	248
hsa-miR-223-3p	Plasma	2.78044965405183	8.61100845421719	10.1787704847118	4.71245180596915e-22	9.93039152192115e-22	38.7566367777409	0.773812724014337	180	248
hsa-miR-28-3p	Plasma	1.05458942911547	12.160177695947	9.27693703487619	7.19027386558515e-19	1.39454674654183e-18	31.4381476628901	0.766308243727599	180	248
hsa-miR-221-3p	Plasma	2.83074557820469	10.3370452856763	22.3161484641771	5.6461372593961e-75	4.98332984198873e-74	160.109999691756	0.932437275985663	180	248
hsa-miR-27a-3p	Plasma	0.830651975708881	8.4933704478226	4.78400154252355	2.32843746082003e-06	3.05607416732629e-06	3.24979119389621	0.654547491039427	180	248
hsa-miR-92b-3p	Plasma	-0.39465560873578	9.43577424124091	-2.83334497064475	0.00481190934615112	0.00564634449288253	-3.9566136781503	0.422894265232975	180	248
hsa-miR-16-2-3p	Plasma	4.51729233221111	6.38029865391667	27.3020345011797	9.22380088209006e-98	1.60494135348367e-96	212.466244765526	0.964784946236559	180	248
hsa-miR-106b-3p	Plasma	3.49899350240455	7.70239645550629	29.7480869940409	1.29920596210708e-108	2.93043122564152e-107	237.387673869511	0.990232974910394	180	248
hsa-miR-363-3p	Plasma	1.29299411344541	8.39968980457247	8.7211716843398	5.26550115308526e-17	9.92783344343319e-17	27.2599482966618	0.732123655913979	180	248
hsa-miR-486-3p	Plasma	4.5338705404344	5.84959572031442	31.2820097332191	2.83229161417677e-115	8.62432796516826e-114	252.683942556467	0.982930107526882	180	248
hsa-miR-144-3p	Plasma	5.061468835575	5.85320061434984	30.527465473031	5.18142154643968e-112	1.50261224846751e-110	245.19415794804	0.974148745519713	180	248
hsa-miR-130a-3p	Plasma	1.79776134515908	8.77919124708351	15.1453649551081	3.19544926738756e-42	1.21626787739939e-41	84.9300603235446	0.87219982078853	180	248
hsa-miR-140-3p	Plasma	2.55184541668466	9.47047342443218	20.7454544437723	1.06174559046542e-67	7.88540322674927e-67	143.407582743854	0.91581541218638	180	248
hsa-miR-378a-3p	Plasma	-1.0433189032522	11.6530169735784	-6.97677534582837	1.076478300109e-11	1.71616566692769e-11	15.1539332366928	0.289896953405018	180	248
hsa-miR-126-3p	Plasma	6.23853656405121	6.87002769166149	39.7826041310842	6.07607958256207e-150	9.25083116445075e-148	332.257902836701	0.985416666666667	180	248
hsa-miR-30a-5p	Plasma	-5.00622108805436	12.7207407257868	-25.9628071239771	1.02711807732546e-91	1.45468583509583e-90	198.563784498807	0.060013440860215	180	248
hsa-miR-148b-3p	Plasma	3.45731401454708	9.32944551587598	25.9533046189217	1.13438550721208e-91	1.57009266793672e-90	198.474815045837	0.946908602150538	180	248
hsa-miR-744-5p	Plasma	1.97331226434552	10.5276722074267	18.1347838848043	1.16564631246324e-55	6.17285742860968e-55	115.744880937378	0.88711917562724	180	248
hsa-miR-484	Plasma	3.03213025516715	8.20061184161139	19.4002459188609	1.76924992038838e-61	1.07747320151653e-60	129.128432578606	0.904659498207885	180	248
hsa-miR-532-5p	Plasma	-0.234040127704969	8.58448168511401	-1.79081637263932	0.0739900470693836	0.0807525782531444	-6.32268886900437	0.444690860215054	180	248
hsa-miR-127-3p	Plasma	4.57992545366943	8.8241459327067	24.1061309365039	3.12433885167127e-83	3.11921698470132e-82	179.086045862477	0.943436379928315	180	248
hsa-miR-128-3p	Plasma	1.10630319780392	8.40109890302681	8.56271095466054	1.73243239076013e-16	3.17786543967747e-16	26.0842910198746	0.75445788530466	180	248
hsa-miR-30c-5p	Plasma	-0.0952411884034857	10.0627087055849	-0.604271960863335	0.545965230680749	0.558811471402649	-7.77096807278782	0.50918458781362	180	248
hsa-miR-150-5p	Plasma	3.9905832848015	5.88273683170535	20.9759392484498	9.08586305988299e-69	7.00416532084651e-68	145.87272586932	0.908355734767025	180	248
hsa-miR-130b-3p	Plasma	3.54469004590935	7.10953519725278	26.1783917323192	1.08079266422583e-92	1.56714936312745e-91	200.824277825926	0.96964605734767	180	248
hsa-miR-222-3p	Plasma	1.13348482780532	10.3131914013276	8.27421143837365	1.45627804088578e-15	2.56321770780184e-15	23.9465002242719	0.747737455197133	180	248
hsa-miR-23a-3p	Plasma	1.97772354128679	7.89053509699709	11.6969543351411	8.41432131609331e-28	2.2087593454745e-27	51.905338726373	0.771998207885305	180	248
hsa-miR-584-5p	Plasma	5.2917708740312	7.49226865093328	36.2266890738477	6.46705721915139e-136	3.93843784646319e-134	300.07167614334	0.983736559139785	180	248
hsa-miR-106b-5p	Plasma	3.4688775945275	6.0039671143799	21.9513935281654	2.75424759520862e-73	2.32963442428062e-72	156.252107375883	0.923521505376344	180	248
hsa-miR-98-5p	Plasma	0.513127590197365	9.66647922427769	3.11912047231906	0.00192956822702068	0.0022996224075452	-3.12911467709285	0.596415770609319	180	248
hsa-miR-17-5p	Plasma	3.10340114137043	6.90350895943604	19.4170021163119	1.48066877775678e-61	9.16123091225132e-61	129.312899838522	0.902329749103943	180	248
hsa-miR-210-3p	Plasma	0.70368023727202	7.06808155228158	4.51080913537623	8.23733814126144e-06	1.06282604407377e-05	2.05881827775515	0.613082437275986	180	248
hsa-miR-19b-3p	Plasma	2.15504593317694	8.57005622375094	17.4066717510215	2.44539781525555e-52	1.1913978155925e-51	108.142466605971	0.89910394265233	180	248
hsa-miR-181b-5p	Plasma	-0.338628321371367	9.83843895520715	-3.1036890521133	0.00203084815928328	0.00241559868946	-3.17756334090184	0.385595878136201	180	248
hsa-miR-146b-5p	Plasma	1.74704338200382	9.80118596100659	12.7357568911017	5.66122188426921e-32	1.6655478876908e-31	61.4264546661631	0.805174731182796	180	248
hsa-miR-4732-3p	Plasma	4.1558320264142	4.67320983325578	25.7341708784048	1.12321908872755e-90	1.39600086741853e-89	196.192896013395	0.956742831541219	180	248
hsa-miR-652-3p	Plasma	3.70480946629357	6.45105456686694	29.6232618433924	4.57957027263153e-108	9.96056534297358e-107	236.130217416252	0.970295698924731	180	248
hsa-miR-409-3p	Plasma	5.6716639392048	7.13936204153733	34.096202636557	3.50074370625857e-127	1.77662743092622e-125	280.028076541406	0.982034050179211	180	248
hsa-miR-203a-3p	Plasma	-7.90651986810421	6.37336813977217	-36.7605507420133	4.58041300952868e-138	3.09941280311441e-136	304.962086440779	0.0107078853046595	180	248
hsa-miR-3615	Plasma	2.37719691944291	7.19786385135428	16.9530228163542	2.78560263369701e-50	1.29498626253548e-49	103.433249311399	0.883310931899642	180	248
hsa-miR-941	Plasma	0.601327062827511	8.1174077479337	4.50103089090992	8.60850811778592e-06	1.10602984044971e-05	2.00199919445928	0.633445340501792	180	248
hsa-miR-375	Plasma	-5.85614398534646	10.6824883345077	-31.9228753285987	5.0581354324025e-118	1.71133582129618e-116	258.999765045183	0.0175403225806452	180	248
hsa-miR-20a-5p	Plasma	2.77773153215531	6.24863534070855	15.1275850483135	3.82382725234548e-42	1.43747580041876e-41	84.7679569141532	0.847334229390681	180	248
hsa-miR-320b	Plasma	0.133628537908098	8.68375871161566	0.830181941706918	0.406873036403455	0.419265108578179	-7.58078809710265	0.491644265232975	180	248
hsa-let-7d-3p	Plasma	1.2291461682141	8.33593164937531	8.71197532925409	5.64463139933926e-17	1.06098164265358e-16	27.1926488747789	0.741397849462366	180	248
hsa-miR-29a-3p	Plasma	-1.05837425164952	7.74514975466922	-7.22007107130634	2.20890994320618e-12	3.60650443810338e-12	16.7880923144042	0.286559139784946	180	248
hsa-miR-125a-5p	Plasma	-0.920424443288967	10.4910902311755	-7.7785571495307	4.99492418844766e-14	8.47328365115494e-14	20.4626787931857	0.297267025089606	180	248
hsa-miR-122-5p	Plasma	3.96787559629845	5.76641030327209	20.2406277129701	2.30895280916649e-65	1.59790029634363e-64	138.053265154095	0.905398745519713	180	248
hsa-miR-421	Plasma	0.547334631377766	7.0066676276863	3.46475424660445	0.000581201078041712	0.00070508258272391	-1.96986136936786	0.632414874551971	180	248
hsa-miR-15b-5p	Plasma	2.67696757592378	6.1444975801944	14.4925852416345	2.22265406688048e-39	7.86974608564078e-39	78.4307705294434	0.824955197132616	180	248
hsa-miR-301a-3p	Plasma	3.15512527938777	6.9141497702384	19.416457441127	1.4892641384448e-61	9.16123091225132e-61	129.306904893921	0.895161290322581	180	248
hsa-miR-24-3p	Plasma	1.74258640206082	7.75084856985345	12.3818503990587	1.56212918396544e-30	4.48743713695733e-30	58.1576427671935	0.810685483870968	180	248
hsa-miR-660-5p	Plasma	-1.86462039551967	7.29120467233717	-13.9507476823713	4.69796454857059e-37	1.55492413591276e-36	73.1136801535632	0.158848566308244	180	248
