miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-486-5p	Saliva	-1.36051789243704	14.3348120854725	-2.10507931354311	0.0358568551217636	0.063664212154968	-5.11530101909236	0.434116623150566	45	383
hsa-miR-92a-3p	Saliva	0.540520217377506	15.0860375056177	2.37919658773476	0.0177805717547961	0.034595425554859	-4.55095192776985	0.615259646069046	45	383
hsa-miR-16-5p	Saliva	2.04814897395385	12.0716459568695	5.00344653627144	8.18725516724475e-07	4.15503199737671e-06	4.81874376502213	0.73031621700029	45	383
hsa-miR-22-3p	Saliva	-0.729406864272209	15.0823678738497	-2.82392679286361	0.00496170837656378	0.0112039386557793	-3.39599900509147	0.3501015375689	45	383
hsa-miR-451a	Saliva	-0.424569249159763	9.68610619714238	-0.674401877416342	0.500413823591757	0.575003808617698	-7.00503460973701	0.469625761531767	45	383
hsa-let-7f-5p	Saliva	-1.03292797998634	14.2056406363696	-3.6629803013477	0.000279998272506563	0.000835877195865181	-0.721575767323412	0.270670147954743	45	383
hsa-miR-423-5p	Saliva	-0.27048634427955	14.4495374986557	-1.13603409211194	0.256567319226381	0.330337203824241	-6.69105086293855	0.467478967217871	45	383
hsa-miR-25-3p	Saliva	0.765251172368611	11.0563885052171	2.57408601180183	0.0103801751065886	0.0216490638353167	-3.99993182012342	0.633652451407021	45	383
hsa-miR-26a-5p	Saliva	-0.0906233598224695	14.1620194151006	-0.358927840584728	0.71982308918493	0.784207980883046	-7.26722707951467	0.475311865390194	45	383
hsa-let-7i-5p	Saliva	-1.85115116379991	12.3771663559017	-8.16549895277269	3.49283351135818e-15	4.43153251753569e-14	23.6671072801196	0.148883086742095	45	383
hsa-let-7a-5p	Saliva	-0.837227809001158	13.6857418473647	-3.2330521235821	0.00131790731199328	0.00348958936088655	-2.15383264184375	0.306759501015376	45	383
hsa-miR-181a-5p	Saliva	-0.384597615989634	13.9502839142824	-2.13032348363151	0.0337049829544591	0.0605496596438513	-5.06955767444661	0.392457209167392	45	383
hsa-miR-10b-5p	Saliva	-4.93956032654153	14.5127655396772	-7.4625965842981	4.65362034927711e-13	4.88630136674096e-12	18.8750652898015	0.14435741224253	45	383
hsa-miR-15a-5p	Saliva	1.87169377914701	7.9048740845433	4.33131941517316	1.84173733133491e-05	6.92356811594419e-05	1.92567416650289	0.711053089643168	45	383
hsa-miR-191-5p	Saliva	0.851316718486474	13.1840174629157	2.8559316538252	0.00449640319717133	0.0102175729368558	-3.2960226082113	0.645140702059762	45	383
hsa-miR-93-5p	Saliva	0.0232926229958043	9.68784974367413	0.0627574569973873	0.949988448111012	0.965848021535236	-7.23512128715242	0.520104438642298	45	383
hsa-miR-126-5p	Saliva	-2.89861449021526	8.75935561303072	-4.65429224727672	4.32185736021374e-06	1.88000795169298e-05	3.33414787950019	0.333333333333333	45	383
hsa-miR-21-5p	Saliva	-0.232070993612351	12.739122785323	-0.930098101694044	0.352835772061606	0.433219728196609	-6.86792578790087	0.427676240208877	45	383
hsa-miR-103a-3p	Saliva	-0.727481415655354	10.8269977557508	-2.67741758497825	0.00769966707964074	0.0166280044379475	-3.70249480536704	0.394894110821004	45	383
hsa-miR-27b-3p	Saliva	0.856041379866169	13.0405705748606	4.4483365938473	1.10021565682704e-05	4.37928977129193e-05	2.33155288826533	0.691383812010444	45	383
hsa-miR-30e-5p	Saliva	0.349070332176074	12.1334933488281	1.36019848105074	0.174471062679365	0.243141595358657	-6.37580031575426	0.562576153176675	45	383
hsa-let-7g-5p	Saliva	-0.386690585365763	11.0589064140858	-1.50559762712824	0.132895726894066	0.192586736512347	-6.13089584251516	0.422106179286336	45	383
hsa-miR-30d-5p	Saliva	-1.68588688896655	13.4332818569489	-8.31553974424444	1.18045510172711e-15	1.59754923767069e-14	24.7157650358067	0.132404989846243	45	383
hsa-miR-107	Saliva	-0.882773653315051	8.87977388596707	-3.35951366666779	0.000849544138053503	0.00230000335558485	-1.65214766628232	0.343022918479838	45	383
hsa-miR-186-5p	Saliva	0.073795837761898	11.6011664618112	0.280181088429484	0.779471666922321	0.83134543810104	-7.24122609027739	0.506527415143603	45	383
hsa-miR-26b-5p	Saliva	0.889693345976247	11.1431049488111	3.20764008617183	0.00143707952735325	0.00374009159041935	-2.21038028664446	0.658021467943139	45	383
hsa-miR-101-3p	Saliva	-0.226207473689801	10.5111382382971	-1.00101916354089	0.317373635044464	0.39204978446669	-6.7496500137598	0.433652451407021	45	383
