miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-486-5p	Plasma	1.5641056064682	14.6963138965479	3.76078860811616	0.000219092089897345	0.0165779681355658	0.316107479783726	0.592174005757543	83	113
hsa-miR-92a-3p	Plasma	0.604387279510996	14.6491299626689	2.85452283810824	0.00473780788325177	0.0716988259665435	-2.45525182605603	0.593240217507197	83	113
hsa-miR-122-5p	Plasma	1.68658921661399	14.3668474718833	3.6916934387445	0.000283305966363322	0.0183744155327069	0.0862746483619494	0.631197355794861	83	113
hsa-miR-21-5p	Plasma	0.395408156979709	15.2274285873363	1.66801562022308	0.0967883920951007	0.318419782689679	-5.01513888794054	0.581192024736113	83	113
hsa-let-7b-5p	Plasma	0.15663186915797	15.3885598446994	0.838000183114906	0.4029740223453	0.644190866706924	-6.02393512183716	0.561786970892419	83	113
hsa-miR-423-5p	Plasma	0.411150237948831	15.5805324973061	1.96269903622644	0.0509887107775299	0.251618203184767	-4.50783642619867	0.588335643458791	83	113
hsa-miR-30d-5p	Plasma	-0.242660345960134	15.280341587779	-1.97925077555703	0.0490814239496068	0.251618203184767	-4.46990678795554	0.400469133169848	83	113
hsa-let-7a-5p	Plasma	0.276366787320388	14.9496663834929	1.25147158265109	0.212141101077393	0.450056354622133	-5.59586120436166	0.572129224864058	83	113
hsa-let-7f-5p	Plasma	0.231018850315018	14.4163961621195	0.964992130835666	0.335647814630213	0.597584736635751	-5.89055787522974	0.562853182642073	83	113
hsa-let-7i-5p	Plasma	0.26004245787602	14.4229102581496	1.48891479237626	0.137995312268039	0.371750609958326	-5.26918266108928	0.568290862565305	83	113
hsa-miR-148a-3p	Plasma	-0.165701876016687	14.8963130244667	-1.27134838892453	0.204997278524396	0.443084424130802	-5.56932201509963	0.411237871841348	83	113
hsa-miR-26a-5p	Plasma	-0.149912117049278	14.3271616029674	-0.799233492181954	0.425049229063668	0.654143559304764	-6.02908276087827	0.475210576820557	83	113
