miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-486-5p	Serum	2.00541673360973	14.6963138965479	4.86429670900568	2.23344416802278e-06	0.000216132524650775	4.49121384453994	0.682527556477136	77	119
hsa-miR-92a-3p	Serum	0.957013437077305	14.6491299626689	4.63897699807392	6.11524686804923e-06	0.000277632207809435	3.53920574701397	0.707082833133253	77	119
hsa-miR-122-5p	Serum	1.66778153321117	14.3668474718833	3.60498486076201	0.00038889454301241	0.00376883096405753	-0.326598248019538	0.650114591291062	77	119
hsa-miR-21-5p	Serum	0.894129952540994	15.2274285873363	3.87027583519542	0.000144601639176926	0.00193085718195071	0.572531706506623	0.691913128887919	77	119
hsa-let-7b-5p	Serum	0.295565911927736	15.3885598446994	1.57818803745148	0.116008739157203	0.178535483313119	-5.33309986222368	0.608206919131289	77	119
hsa-miR-423-5p	Serum	0.618582012209017	15.5805324973061	2.96805837477658	0.00334030177288413	0.0147232718921301	-2.30650025331301	0.65600785768853	77	119
hsa-miR-30d-5p	Serum	0.19963540447524	15.280341587779	1.62145865202994	0.106401003632124	0.167207179342309	-5.26416314790349	0.564443959401943	77	119
hsa-let-7a-5p	Serum	0.840397146835566	14.9496663834929	3.91991363832827	0.000119451324388755	0.00165183992546983	0.753247757942376	0.685583324238786	77	119
hsa-let-7f-5p	Serum	0.705960574346205	14.4163961621195	3.00370968441405	0.00298690512572491	0.0136400598172043	-2.18701429791864	0.66266506602641	77	119
hsa-let-7i-5p	Serum	0.57878008681486	14.4229102581496	3.37579906468655	0.000874897570772281	0.0054411437963098	-1.07423572533115	0.692240532576667	77	119
hsa-miR-148a-3p	Serum	0.115605428364372	14.8963130244667	0.884677086616185	0.377329965708489	0.470625836350698	-6.1585163690751	0.55145694641493	77	119
hsa-miR-26a-5p	Serum	0.324531068372225	14.3271616029674	1.73840716529849	0.0835864474270004	0.13799362593403	-5.05405891581713	0.595438175270108	77	119
hsa-miR-151a-3p	Serum	0.351939133042629	14.4169668530047	2.75095513622329	0.00645458774546985	0.0220329536574685	-2.87547973667171	0.655353050311034	77	119
hsa-miR-423-3p	Serum	0.589213006222001	13.111546788133	3.70631651779475	0.0002682175195221	0.00320449352271141	0.0409975260477395	0.691476590636255	77	119
hsa-miR-320a	Serum	0.856350344611663	14.1827495185226	3.42077592194791	0.000748623310622394	0.00485535690032239	-0.927018652975588	0.667794390483466	77	119
hsa-let-7g-5p	Serum	0.514371492686415	12.9716158452631	2.50013831516184	0.013169797866529	0.0349654282538256	-3.46153329501368	0.658408818072684	77	119
hsa-miR-451a	Serum	1.39888818083543	12.4445942021358	3.59520334789898	0.000402924674929309	0.00376883096405753	-0.315350326560692	0.624140565317036	77	119
