miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-486-5p	Urine	-8.14270019563848	14.6963138965479	-17.7001385403627	6.15447045514947e-44	3.99161369519694e-42	88.8314726745564	0.0595486111111111	36	160
hsa-miR-92a-3p	Urine	-3.57519238342616	14.6491299626689	-13.5917940599896	7.98592618445603e-31	2.01422804874613e-29	59.3656443579323	0.01875	36	160
hsa-miR-122-5p	Urine	-7.50992701622316	14.3668474718833	-8.9967326017726	1.20493214628794e-16	1.24327089639711e-15	27.2352374551046	0.0475694444444444	36	160
hsa-miR-21-5p	Urine	-2.81129258051204	15.2274285873363	-7.79265372467162	2.72019919379272e-13	2.20530434639624e-12	19.5161249881341	0.0625	36	160
hsa-let-7b-5p	Urine	-0.896355868311665	15.3885598446994	-3.17161667313351	0.001736006538775	0.00255891872923328	-2.43117291978163	0.227256944444444	36	160
hsa-miR-423-5p	Urine	-2.14592668535762	15.5805324973061	-6.85171362657608	7.47911766191496e-11	4.04228502203499e-10	13.9317347747283	0.107986111111111	36	160
hsa-miR-30d-5p	Urine	0.198747957213669	15.280341587779	1.14807501147093	0.252205810113187	0.284829447242256	-6.75419425148729	0.559548611111111	36	160
hsa-let-7a-5p	Urine	-2.48309269904081	14.9496663834929	-7.42210351065482	2.6082712037495e-12	1.82177711769581e-11	17.2903218703965	0.0873263888888889	36	160
hsa-let-7f-5p	Urine	-2.15468259639488	14.4163961621195	-5.42857600295867	1.51961368099289e-07	3.91991256347029e-07	6.60705248775234	0.138888888888889	36	160
hsa-let-7i-5p	Urine	-1.90709357492219	14.4229102581496	-7.28081173661507	6.07664416405407e-12	4.11760664250828e-11	16.4649214899622	0.0829861111111111	36	160
hsa-miR-148a-3p	Urine	0.240566803400917	14.8963130244667	1.28636122657264	0.199692267608553	0.227789672096188	-6.54869353124525	0.562673611111111	36	160
hsa-miR-26a-5p	Urine	-0.352862382783547	14.3271616029674	-1.17745357386904	0.240308540153503	0.272070018029154	-6.60701428173216	0.388541666666667	36	160
hsa-miR-151a-3p	Urine	-0.702371009013055	14.4169668530047	-3.63270277862612	0.000350312397034808	0.000568006529477868	-0.879991918382999	0.238715277777778	36	160
hsa-miR-423-3p	Urine	-1.82806869515572	13.111546788133	-7.20708339006901	9.41303745161409e-12	6.10502714718971e-11	16.107058438925	0.0913194444444444	36	160
hsa-miR-320a	Urine	-2.5218310382651	14.1827495185226	-5.97602219863974	9.32018164245697e-09	2.89819346964073e-08	9.32343878089712	0.178298611111111	36	160
hsa-let-7g-5p	Urine	-2.29981917489309	12.9716158452631	-6.63887801220537	2.51039104068171e-10	1.19970266575736e-09	12.9173533905539	0.102083333333333	36	160
hsa-miR-451a	Urine	-6.88535299647427	12.4445942021358	-12.4806454454112	2.78189338210912e-27	5.02218960224031e-26	51.1917176563125	0.0989583333333333	36	160
hsa-miR-128-3p	Urine	-1.83330164898813	11.9788924499705	-6.29594022567493	1.67930157844261e-09	6.80716889832987e-09	11.1059239268948	0.115972222222222	36	160
hsa-miR-126-3p	Urine	-7.05184537531097	12.1523390924577	-16.8352304148182	3.3486360546789e-41	1.90035096103027e-39	82.4202742096001	0.0147569444444444	36	160
hsa-miR-146a-5p	Urine	-5.54900959296711	11.7334100284084	-12.4947781193711	2.50914023842854e-27	4.74645695102731e-26	51.2991188280327	0.0618055555555556	36	160
hsa-miR-10b-5p	Urine	3.82235594912654	13.6877860529826	14.6876790055419	2.44914012985559e-34	8.55315091503414e-33	67.344695566245	0.804166666666667	36	160
hsa-miR-10a-5p	Urine	3.51614892906218	13.3663760653948	13.8407284995493	1.27394922243345e-31	3.40219380579286e-30	61.1465341388036	0.810763888888889	36	160
hsa-miR-25-3p	Urine	-2.91976988361408	11.7846171431188	-10.7288584634364	8.30113801535941e-22	1.04686573860366e-20	38.8895127118843	0.113541666666667	36	160
hsa-miR-22-3p	Urine	-3.09394672663566	12.6418229812919	-10.3056563427605	1.6190087576423e-20	1.83757493992401e-19	35.9662141992109	0.0569444444444444	36	160
hsa-miR-146b-5p	Urine	-2.09150588032071	11.820365928973	-6.26202566369846	2.01944011081909e-09	7.83611803685358e-09	10.9397401255009	0.1015625	36	160
hsa-let-7d-3p	Urine	-2.9453436254704	11.2096744189872	-6.60487403869825	3.03956128917455e-10	1.40975344972138e-09	12.8430132750174	0.112326388888889	36	160
hsa-miR-222-3p	Urine	-1.43744425802587	12.0391502245927	-5.0807129361734	8.11650452497337e-07	1.8745193578767e-06	5.10717417072905	0.183506944444444	36	160
hsa-miR-24-3p	Urine	-2.86252899989168	12.0082527300278	-12.4760817511841	2.87614382507154e-27	5.02218960224031e-26	51.2537899515231	0.0472222222222222	36	160
hsa-miR-27b-3p	Urine	-0.613792682436777	11.4971861385675	-2.28477307670627	0.0232959454409793	0.0299613575926476	-4.48232275646246	0.303645833333333	36	160
hsa-miR-101-3p	Urine	-2.81952616806921	12.1988147931848	-7.59170622145396	9.33781147579708e-13	6.83768775808367e-12	18.441304917292	0.0734375	36	160
hsa-miR-143-3p	Urine	-6.81338499600964	12.0819129071702	-13.4442554158776	2.36778347287547e-30	5.37486848342733e-29	58.0798424354683	0.0631944444444444	36	160
hsa-miR-1307-3p	Urine	-1.35800343762066	11.5652227144663	-3.78562197290069	0.000198601128085954	0.00032906902244899	-0.10114673534308	0.214583333333333	36	160
hsa-miR-191-5p	Urine	-2.04933572565609	11.5130335575667	-6.37215061640942	1.10691169795907e-09	4.74092368748508e-09	11.5364353913416	0.181944444444444	36	160
hsa-miR-584-5p	Urine	-4.76716380815285	10.6424650161327	-13.3984206884605	3.31817686849337e-30	7.17358237283806e-29	57.7506052062266	0.0569444444444444	36	160
hsa-miR-221-3p	Urine	-2.93339175655942	10.4705766341105	-8.64854535976936	1.18616891136891e-15	1.0990218076765e-14	25.0035640413899	0.135416666666667	36	160
hsa-miR-625-3p	Urine	-2.73012591741248	9.27813619362191	-6.20693830666698	2.72108596887156e-09	1.01260084415384e-08	10.7756031194253	0.198784722222222	36	160
hsa-miR-148b-3p	Urine	-4.03840488174219	11.122363193502	-11.8553204880378	2.62258595104102e-25	4.10570352335387e-24	46.7691020608975	0.053125	36	160
