sample_id	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_BFPExiqon2_56_S93_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	713617.0	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_BFPExiqon3_57_S94_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	753942.0	Plasma	PASS	miRcury biofluids (Exiqon)			False
sample_BFPExoQuick1_85_S118_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	644521.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_BFPExoQuick2_86_S119_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	66805.0	Plasma	PASS	SeraMir Kit (System Biosciences)			True
sample_BFPExoQuick3_87_S120_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	299528.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False
sample_BFPExoRNeasy1_49_S87_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	383271.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BFPExoRNeasy2_50_S88_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	546733.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BFPExoRNeasy3_51_S89_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	465937.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BFPME1_79_fastq	EXR-LLAUR1AVB5CS-AN	88370.0	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BFPME2_80_fastq	EXR-LLAUR1AVB5CS-AN	65954.0	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BFPME3_81_S114_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	8389.0	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BFPMillipore1_67_fastq	EXR-LLAUR1AVB5CS-AN	358782.00000000006	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BFPMillipore2_68_S102_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	116350.99999999999	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BFPMillipore3_69_S103_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	93238.00000000001	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BFPUltra1_73_fastq	EXR-LLAUR1AVB5CS-AN	84724.00000000001	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BFPUltra2_74_S108_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	186900.0	Plasma	PASS	miRNeasy (Qiagen)			False
sample_BFPUltra3_75_S109_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	67177.0	Plasma	PASS	miRNeasy (Qiagen)			True
sample_BFPmiRCury1_91_S124_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	23688.0	Plasma	FAIL	Other			True
sample_BFPmiRCury2_92_S125_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	15294.0	Plasma	FAIL	Other			True
sample_BFPmiRCury3_93_S126_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	4842.0	Plasma	FAIL	Other			True
sample_BFPmiRNeasy1_61_S104_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	26775.000000000004	Plasma	FAIL	miRNeasy (Qiagen)			True
sample_BFPmiRNeasy2_62_S98_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	14.0	Plasma	FAIL	miRNeasy (Qiagen)			True
