miRNA	biofluid	logFC	AveExpr	t	P.Value	adj.P.Val	B	AUC	n_target	n_rest
hsa-miR-451a	Plasma	1.90614666120357	17.7264434050946	15.3775229334057	7.47106986663294e-41	6.80801241596927e-39	81.9170348362887	0.916087962962963	216	96
hsa-miR-21-5p	Plasma	-0.0655296465177214	15.7960963202151	-1.23467198474143	0.217807754991768	0.282028158772645	-7.03490007556906	0.423128858024691	216	96
hsa-miR-16-5p	Plasma	1.31811630592476	14.1001052846536	9.70515829281323	8.22813323823639e-20	9.52112560424497e-19	33.9808904883221	0.844955632716049	216	96
hsa-miR-486-5p	Plasma	2.1835441535259	15.8992722278041	21.6813700522558	5.22889394862193e-66	3.81186368854539e-63	139.706720861019	0.97193287037037	216	96
hsa-miR-25-3p	Plasma	1.28107837147248	14.714370675369	17.2673797119009	2.23287360023351e-48	5.42588284856743e-46	99.2935405491402	0.947675540123457	216	96
hsa-miR-30d-5p	Plasma	0.316554977425298	13.8920184328349	5.53173812715156	6.34850050794531e-08	2.29111726252086e-07	7.0533755954606	0.71532600308642	216	96
hsa-miR-30a-5p	Plasma	0.377417389784038	12.1479428477127	4.05315868014948	6.27138297589882e-05	0.000154977565743398	0.588718265322219	0.623746141975309	216	96
hsa-miR-144-3p	Plasma	1.9333941213759	14.2733228197383	13.9787367460325	2.22755615391816e-35	1.08259229080422e-33	69.5490678684215	0.907793209876543	216	96
hsa-miR-92a-3p	Plasma	1.40988013800356	16.0654889642438	15.5604068238318	1.41316289473357e-41	2.06039150052154e-39	83.6437942194412	0.901234567901235	216	96
hsa-miR-320a	Plasma	0.244214277083058	11.7570281509991	2.02296470531698	0.0438613501396855	0.0664759339954901	-5.36226115774369	0.648099922839506	216	96
hsa-miR-27a-3p	Plasma	-0.677851554223456	12.8996895129353	-8.46199359680889	8.00484063877579e-16	5.89447356128036e-15	24.939964329341	0.19921875	216	96
hsa-miR-30e-5p	Plasma	0.34330008618934	13.9887679966319	6.74360866441098	6.67606972784778e-11	3.11977873820579e-10	13.7361920889143	0.748794367283951	216	96
hsa-miR-101-3p	Plasma	1.52346385739629	14.8980342550472	15.2271819448382	2.92953103231282e-40	2.37292013617338e-38	80.6879926788891	0.927131558641975	216	96
hsa-miR-22-3p	Plasma	0.481184469717977	13.5781223300257	5.03785929025395	7.67010282247335e-07	2.51869592683922e-06	4.67902809655158	0.708863811728395	216	96
hsa-miR-122-5p	Plasma	0.158380478496401	12.4732431690698	1.26923625954572	0.20522753875189	0.266686053030531	-6.66495550669801	0.496672453703704	216	96
hsa-miR-23a-3p	Plasma	-0.930343157214488	12.3954727671398	-9.68589678617511	9.53797381747871e-20	1.08643483014718e-18	33.894343115796	0.169415509259259	216	96
hsa-miR-106b-5p	Plasma	1.17033994164719	13.1980716983406	12.0013113209009	6.78412302114845e-28	1.45459578894624e-26	52.4800014195602	0.899209104938272	216	96
hsa-miR-24-3p	Plasma	-0.664722051440639	12.3289755108011	-7.29438033538349	2.13974924896752e-12	1.15546459444246e-11	17.2202601023475	0.196228780864198	216	96
hsa-miR-375	Plasma	0.280452367900469	9.40057938917282	1.26034335336058	0.208412397044316	0.270342771254994	-6.39296155397528	0.538049768518518	216	96
hsa-miR-1307-5p	Plasma	-0.528790282271316	10.2755962065388	-4.0902918814765	5.3871569729968e-05	0.000134035407280364	0.865843933462662	0.266300154320988	216	96
hsa-miR-93-5p	Plasma	0.710464351235203	13.5099225861182	7.13155429037118	6.03541840076e-12	3.07679721269513e-11	16.1475852856987	0.753713348765432	216	96
hsa-miR-19b-3p	Plasma	0.984223298809809	13.9922159672163	8.52080039490082	5.27378229494322e-16	3.9634920546532e-15	25.3148434779021	0.78197337962963	216	96
hsa-miR-181a-5p	Plasma	-0.447636289039091	11.2792795349946	-4.4225981292385	1.31542833518198e-05	3.63237597101387e-05	2.12510910512676	0.285011574074074	216	96
