sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
sample_ZW_U19_Plasma_102-10_fastq	EXR-TTUSC1gCrGDH-AN	73383.0	Plasma	84900.0	73383.0	True
sample_ZW_U19_Plasma_102-11_fastq	EXR-TTUSC1gCrGDH-AN	8898.0	Plasma	11211.0	8898.0	True
sample_ZW_U19_Plasma_102-12_fastq	EXR-TTUSC1gCrGDH-AN	27329.000000000004	Plasma	34185.0	27329.0	True
sample_ZW_U19_Plasma_102-13_fastq	EXR-TTUSC1gCrGDH-AN	14607.0	Plasma	19435.0	14607.0	True
sample_ZW_U19_Plasma_102-14_fastq	EXR-TTUSC1gCrGDH-AN	181393.00000000003	Plasma	200282.0	181393.0	False
sample_ZW_U19_Plasma_102-15_fastq	EXR-TTUSC1gCrGDH-AN	311951.0	Plasma	348315.0	311951.0	False
sample_ZW_U19_Plasma_102-16_fastq	EXR-TTUSC1gCrGDH-AN	145963.0	Plasma	188065.0	145963.0	False
sample_ZW_U19_Plasma_102-17_fastq	EXR-TTUSC1gCrGDH-AN	1058788.0000000002	Plasma	1328588.0	1058788.0	False
sample_ZW_U19_Plasma_102-18_fastq	EXR-TTUSC1gCrGDH-AN	368751.0	Plasma	449412.0	368751.0	False
sample_ZW_U19_Plasma_102-19_fastq	EXR-TTUSC1gCrGDH-AN	25197.0	Plasma	29392.0	25197.0	True
sample_ZW_U19_Plasma_102-1_fastq	EXR-TTUSC1gCrGDH-AN	1437208.0	Plasma	1573610.0	1437208.0	False
sample_ZW_U19_Plasma_102-20_fastq	EXR-TTUSC1gCrGDH-AN	20823.0	Plasma	22979.0	20823.0	True
sample_ZW_U19_Plasma_102-21_fastq	EXR-TTUSC1gCrGDH-AN	2369240.0	Plasma	2668237.0	2369240.0	False
sample_ZW_U19_Plasma_102-22_fastq	EXR-TTUSC1gCrGDH-AN	124745.99999999999	Plasma	143421.0	124746.0	False
sample_ZW_U19_Plasma_102-23_fastq	EXR-TTUSC1gCrGDH-AN	51203.99999999999	Plasma	59291.0	51204.0	True
sample_ZW_U19_Plasma_102-24_fastq	EXR-TTUSC1gCrGDH-AN	229602.0	Plasma	258610.0	229602.0	False
