sample_id	dataset_id	library_size	biofluid	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag
EXR-KJENS1RID1-AN.sample_Sample_B_001_PC02_CAGGCG_R1_001_fastq	EXR-KJENS1RID1-AN	1242620	Plasma	3159879	1242620	False
EXR-KJENS1RID1-AN.sample_Sample_B_002_PC02_CATTTT_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	519364	Plasma	1967524	519364	False
EXR-KJENS1RID1-AN.sample_Sample_B_004_BC01_CATGGC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	740897	Plasma	5437464	740897	False
EXR-KJENS1RID1-AN.sample_Sample_B_004_GC11_CAGGCG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	881807	Plasma	7242103	881807	False
EXR-KJENS1RID1-AN.sample_Sample_B_004_GC12_ACTTGA_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	51001	Plasma	1006921	51001	True
EXR-KJENS1RID1-AN.sample_Sample_B_005_BC01_GTCCGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	1662007	Plasma	2956780	1662007	False
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC06_CTCAGA_R1_001_fastq	EXR-KJENS1RID1-AN	1122959	Plasma	5460643	1122959	False
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC07_AGTTCC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	257963	Plasma	1512383	257963	False
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC08_GGTAGC_combined_2_R1_001_fastq	EXR-KJENS1RID1-AN	3805	Plasma	93779	3805	True
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC09_CAGATC_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	122926	Plasma	4667186	122926	False
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC12_CATGGC_R1_001_fastq	EXR-KJENS1RID1-AN	791639	Plasma	2244329	791639	False
EXR-KJENS1RID1-AN.sample_Sample_B_005_GC16_ACAGTG_combined_3_R1_001_fastq	EXR-KJENS1RID1-AN	463965	Plasma	11486344	463965	False
