miRNA	biofluid	n_datasets	datasets	mean_logFC	mean_AUC	min_AUC	max_adj_P_Val	KJENS_logFC	KJENS_AUC	TTUSC_logFC	TTUSC_AUC	LLAUR_logFC	LLAUR_AUC
hsa-miR-30c-2-3p	Urine	2	KJENS,LLAUR	6.8363	0.9806	0.9620	0.0000	7.3993	0.9992			6.2732	0.9620
hsa-miR-204-5p	Urine	2	KJENS,LLAUR	8.3356	0.9785	0.9734	0.0000	7.3691	0.9734			9.3021	0.9837
hsa-miR-30a-3p	Urine	2	KJENS,LLAUR	5.8889	0.9709	0.9477	0.0000	6.9369	0.9941			4.8409	0.9477
hsa-miR-200b-3p	Urine	2	KJENS,LLAUR	7.2696	0.9494	0.9196	0.0000	6.3434	0.9196			8.1957	0.9792
hsa-miR-204-3p	Urine	2	KJENS,LLAUR	6.0597	0.9453	0.9166	0.0000	4.0350	0.9166			8.0843	0.9741
hsa-miR-200a-3p	Urine	2	KJENS,LLAUR	5.7989	0.9401	0.9173	0.0000	5.6501	0.9173			5.9478	0.9630
hsa-miR-200a-5p	Urine	2	KJENS,LLAUR	6.0718	0.9394	0.9030	0.0000	4.2576	0.9030			7.8860	0.9759
hsa-miR-30a-5p	Urine	2	KJENS,LLAUR	4.6673	0.9324	0.8785	0.0000	5.8229	0.9863			3.5118	0.8785
hsa-miR-429	Urine	2	KJENS,LLAUR	6.0657	0.9322	0.9009	0.0000	5.6028	0.9009			6.5285	0.9635
hsa-miR-200b-5p	Urine	2	KJENS,LLAUR	5.3698	0.9234	0.8766	0.0000	3.9437	0.8766			6.7960	0.9701
hsa-miR-99a-5p	Urine	2	KJENS,LLAUR	3.4433	0.9196	0.8965	0.0000	3.3521	0.9428			3.5346	0.8965
hsa-miR-10b-3p	Urine	2	KJENS,LLAUR	4.2915	0.9194	0.8891	0.0000	4.1569	0.9497			4.4262	0.8891
hsa-miR-10a-3p	Urine	2	KJENS,LLAUR	3.7192	0.9112	0.8793	0.0000	3.5440	0.9430			3.8944	0.8793
hsa-miR-615-3p	Urine	2	KJENS,LLAUR	4.3035	0.9103	0.8717	0.0000	4.4644	0.9489			4.1425	0.8717
hsa-miR-141-3p	Urine	2	KJENS,LLAUR	5.0758	0.9097	0.8697	0.0000	4.5175	0.8697			5.6341	0.9498
hsa-miR-9-5p	Urine	2	KJENS,LLAUR	4.1084	0.9057	0.8813	0.0000	3.1017	0.8813			5.1150	0.9302
hsa-miR-455-5p	Urine	2	KJENS,LLAUR	4.2754	0.9025	0.9010	0.0000	3.7729	0.9010			4.7778	0.9040
hsa-miR-10b-5p	Urine	2	KJENS,LLAUR	5.6065	0.8984	0.8042	0.0000	7.3906	0.9927			3.8224	0.8042
hsa-miR-10a-5p	Urine	2	KJENS,LLAUR	4.3108	0.8957	0.8108	0.0000	5.1054	0.9807			3.5161	0.8108
hsa-miR-218-5p	Urine	2	KJENS,LLAUR	4.1358	0.8903	0.8864	0.0000	3.5250	0.8864			4.7466	0.8943
