	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag	library_size_computed	tmm_factor_proxy	is_outlier
sample_BFPExiqon2_56_S93_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	713617.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	712910.8333333333	0.4980523978571421	False
sample_BFPExiqon3_57_S94_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	753942.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	751784.75	0.4722986865588854	False
sample_BFPExoQuick1_85_S118_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	644521.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False	644198.0	0.5511767344822555	False
sample_BFPExoQuick3_87_S120_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	299528.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False	299327.0	1.1862175814410327	False
sample_BFPExoRNeasy1_49_S87_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	383271.0	Plasma	PASS	miRNeasy (Qiagen)			False	382955.8333333333	0.9271746741900176	False
sample_BFPExoRNeasy2_50_S88_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	546733.0	Plasma	PASS	miRNeasy (Qiagen)			False	546220.0	0.6500438468016551	False
sample_BFPExoRNeasy3_51_S89_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	465937.0	Plasma	PASS	miRNeasy (Qiagen)			False	465526.0	0.762722060636785	False
sample_BFPME1_79_fastq	EXR-LLAUR1AVB5CS-AN	88370.0	Plasma	PASS	miRNeasy (Qiagen)			True	88287.0	4.021735363077237	False
sample_BFPMillipore1_67_fastq	EXR-LLAUR1AVB5CS-AN	358782.00000000006	Plasma	PASS	miRNeasy (Qiagen)			False	358453.4	0.9905526073961078	False
sample_BFPMillipore2_68_S102_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	116351.0	Plasma	PASS	miRNeasy (Qiagen)			False	116253.99999999999	3.0542342629070833	False
sample_BFPMillipore3_69_S103_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	93238.0	Plasma	PASS	miRNeasy (Qiagen)			True	93149.0	3.811817088750282	False
sample_BFPUltra1_73_fastq	EXR-LLAUR1AVB5CS-AN	84724.00000000001	Plasma	PASS	miRNeasy (Qiagen)			True	84658.0	4.1941334546055895	False
sample_BFPUltra2_74_S108_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	186900.0	Plasma	PASS	miRNeasy (Qiagen)			False	186423.0	1.904630598155807	False
sample_BFSME1_31_S122_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	413094.00000000006	Serum	PASS	miRNeasy (Qiagen)			False	412707.50000000006	0.8603355887644396	False
sample_BFSME2_32_S78_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	476253.0	Serum	PASS	miRNeasy (Qiagen)			False	475763.0	0.7463105579879058	False
sample_BFSME3_33_S32_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	352103.0	Serum	PASS	miRNeasy (Qiagen)			False	351680.5	1.0096293368554696	False
sample_BFSMillipore1_19_S18_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	174224.0	Serum	PASS	miRNeasy (Qiagen)			False	174059.0	2.039922957158205	False
sample_BFSMillipore2_20_S19_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	545101.9999999995	Serum	PASS	miRNeasy (Qiagen)			False	544280.4999999997	0.6523602260231631	False
sample_BFSMillipore3_21_fastq	EXR-LLAUR1AVB5CS-AN	225534.00000000003	Serum	PASS	miRNeasy (Qiagen)			False	225352.75	1.5756051346167288	False
sample_BFSUltra1_25_S24_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	589382.9999999999	Serum	PASS	miRNeasy (Qiagen)			False	588890.5	0.6029422277995655	False
sample_BFSmiRCury1_43_S174_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	769869.9999999999	Serum	PASS	Other			False	769550.0	0.4613955558443246	False
sample_BFSmiRCury2_44_S175_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	391137.0	Serum	PASS	Other			False	390595.8333333333	0.909039266931931	False
sample_BFSmiRCury3_45_fastq	EXR-LLAUR1AVB5CS-AN	85876.0	Serum	FAIL	Other			True	85776.0	4.139467333519866	False
sample_BMPExiqon1_58_S95_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	684782.0000000001	Plasma	PASS	miRcury biofluids (Exiqon)			False	684117.5	0.5190145698655567	False
sample_BMPExiqon2_59_S96_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	558775.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	558395.5000000001	0.6358700061157369	False
sample_BMPExiqon3_60_S97_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	719468.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	718606.6666666666	0.49410472581198805	False
sample_BMPExoQuick1_88_S121_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	321726.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False	321258.1666666666	1.105238673569388	False
sample_BMPExoQuick2_89_S122_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	329729.0	Plasma	PASS	SeraMir Kit (System Biosciences)			False	329388.5	1.0779579432797441	False
sample_BMPExoQuick3_90_S123_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	236559.00000000003	Plasma	PASS	SeraMir Kit (System Biosciences)			False	236305.50000000003	1.5025759028037857	False
sample_BMPME1_82_fastq	EXR-LLAUR1AVB5CS-AN	77371.0	Plasma	PASS	miRNeasy (Qiagen)			True	77320.0	4.5921747284014485	False
sample_BMPME2_83_S116_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	81372.00000000001	Plasma	PASS	miRNeasy (Qiagen)			True	81283.0	4.368280575274043	False
sample_BMPMillipore1_70_S104_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	143144.00000000003	Plasma	PASS	miRNeasy (Qiagen)			False	143024.00000000003	2.482569009397024	False
sample_BMPMillipore2_71_S105_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	251101.0	Plasma	PASS	miRNeasy (Qiagen)			False	250883.5	1.4152662490757664	False
sample_BMPMillipore3_72_S106_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	112630.0	Plasma	PASS	miRNeasy (Qiagen)			False	112527.99999999999	3.1553653312953225	False
sample_BMPUltra1_76_S110_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	334578.99999999994	Plasma	PASS	miRNeasy (Qiagen)			False	334281.99999999994	1.0621778917201645	False
sample_BMPUltra2_77_S120_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	523130.99999999994	Plasma	PASS	miRNeasy (Qiagen)			False	522754.0	0.6792237840360859	False
sample_BMPUltra3_78_S111_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	214803.99999999997	Plasma	PASS	miRNeasy (Qiagen)			False	214641.99999999994	1.654228669132789	False
sample_BMPmiRCury2_95_S138_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	108242.0	Plasma	PASS	Other			False	108036.0	3.286561423969788	False
sample_BMPmiRNeasy2_65_S154_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	91390.00000000004	Plasma	PASS	miRNeasy (Qiagen)			True	91251.00000000004	3.8911020153203784	False
sample_BMSExiqon1_10_S9_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	668031.9999999999	Serum	PASS	miRcury biofluids (Exiqon)			False	667276.9999999999	0.5321132752964662	False
sample_BMSExoQuick2_41_S40_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	280573.0	Serum	PASS	SeraMir Kit (System Biosciences)			False	280389.8333333333	1.266333182551198	False
sample_BMSME1_34_fastq	EXR-LLAUR1AVB5CS-AN	173040.0	Serum	PASS	miRNeasy (Qiagen)			False	172891.50000000003	2.0536981285951015	False
sample_BMSME2_35_fastq	EXR-LLAUR1AVB5CS-AN	92395.99999999996	Serum	PASS	miRNeasy (Qiagen)			True	92310.49999999997	3.846441629067117	False
sample_BMSME3_36_S35_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	421999.0	Serum	PASS	miRNeasy (Qiagen)			False	421525.5	0.8423380080208671	False
sample_BMSMillipore1_22_S21_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	391911.0	Serum	PASS	miRNeasy (Qiagen)			False	391594.25	0.9067215619228322	False
sample_BMSMillipore2_23_S22_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	344203.0	Serum	PASS	miRNeasy (Qiagen)			False	343974.49999999994	1.0322478846542407	False
sample_BMSMillipore3_24_S23_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	361589.99999999994	Serum	PASS	miRNeasy (Qiagen)			False	361180.6666666666	0.9830729680990679	False
sample_BMSmiRCury2_47_S178_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	114004.0	Serum	PASS	Other			False	113814.5	3.1196987202860798	False
sample_BMSmiRNeasy1_16_S153_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	154172.0	Serum	PASS	miRNeasy (Qiagen)			False	154040.5	2.3050233542477465	False
sample_BMSmiRNeasy2_17_S108_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	412955.00000000006	Serum	PASS	miRNeasy (Qiagen)			False	412538.00000000006	0.8606890759154308	False
sample_BMSmiRNeasy3_18_S155_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	74603.99999999997	Serum	FAIL	miRNeasy (Qiagen)			True	74457.49999999996	4.768719739448682	False
sample_DFPExoRNeasy1_177_fastq	EXR-LLAUR1AVB5CS-AN	447592.00000000006	Plasma	PASS	miRNeasy (Qiagen)			False	447141.50000000006	0.7940818510471517	False
sample_DFPmiRNeasy1_181_S169_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	663789.9999999999	Plasma	PASS	miRNeasy (Qiagen)			False	663002.5	0.5355439082054744	False
sample_DMPExiqon1_180_fastq	EXR-LLAUR1AVB5CS-AN	124074.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	123849.5	2.866922757055943	False
sample_DMPExoRNeasy1_178_fastq	EXR-LLAUR1AVB5CS-AN	682136.0000000001	Plasma	PASS	miRNeasy (Qiagen)			False	681559.3333333333	0.5209626405722565	False
sample_GFPME1_131_fastq	EXR-LLAUR1AVB5CS-AN	214810.0	Plasma	PASS	miRNeasy (Qiagen)			False	214656.0	1.6541207792933812	False
sample_GFPNor_Ami1_139_fastq	EXR-LLAUR1AVB5CS-AN	453515.99999999994	Plasma	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	453009.99999999994	0.7837949493388668	False
sample_GFPNor_Ami2_140_fastq	EXR-LLAUR1AVB5CS-AN	323426.00000000006	Plasma	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	323143.50000000006	1.098790320708911	False
sample_GFPNor_Ami3_141_fastq	EXR-LLAUR1AVB5CS-AN	473516.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	472811.4166666667	0.7509694932986848	False
sample_GFPUltra1_129_S166_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	380071.9999999998	Plasma	PASS	miRNeasy (Qiagen)			False	379437.79999999993	0.9357711593309894	False
sample_GFPmiRNeasy1_125_S164_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	296987.99999999965	Plasma	PASS	miRNeasy (Qiagen)			False	296685.74999999965	1.1967779038932622	False
sample_GFSME1_107_S148_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	187538.0	Serum	PASS	miRNeasy (Qiagen)			False	187318.00000000003	1.8955303281051472	False
sample_GFSNor1_109_S59_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	846095.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	845503.7	0.4199472456477719	False
sample_GFSNor2_110_S60_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	763810.0000000001	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	763247.0000000001	0.4652058245888945	False
sample_GFSNor_Ami1_115_S65_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	253808.99999999997	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	253672.0	1.3997088760288878	False
sample_GFSNor_Ami2_116_S66_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	361926.99999999994	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	361695.5	0.981673673020538	False
sample_GFSNor_Ami3_117_S112_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	163467.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	163339.5	2.1737972137786636	False
sample_GFSUltra1_105_S146_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	794523.0	Serum	PASS	miRNeasy (Qiagen)			False	791265.4166666667	0.4487330578603787	False
sample_GMPME1_132_S168_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	662577.0000000001	Plasma	PASS	miRNeasy (Qiagen)			False	661933.8333333334	0.5364085232083872	False
sample_GMPMillipore1_128_S165_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	73468.0	Plasma	PASS	miRNeasy (Qiagen)			True	73354.5	4.840424922806372	False
sample_GMPNor_Ami1_142_fastq	EXR-LLAUR1AVB5CS-AN	496750.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	496357.3333333333	0.7153454299053371	False
sample_GMPNor_Ami3_144_fastq	EXR-LLAUR1AVB5CS-AN	413883.99999999994	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	413504.9	0.8586765235430099	False
sample_GMPUltra1_130_S167_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	277833.0	Plasma	PASS	miRNeasy (Qiagen)			False	277365.5	1.2801410052800366	False
sample_GMSExoRNeasy1_98_S140_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	351603.00000000006	Serum	PASS	miRNeasy (Qiagen)			False	351244.00000000006	1.0108840293357322	False
sample_GMSME1_108_S149_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	390470.0	Serum	PASS	miRNeasy (Qiagen)			False	390284.50000000006	0.9097644154456556	False
sample_GMSMillipore1_104_S145_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	92769.0	Serum	PASS	miRNeasy (Qiagen)			True	92746.5	3.828359560738141	False
sample_GMSNor_Ami2_119_S69_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	373161.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	372901.1666666667	0.952174414400241	False
sample_GMSNor_Ami3_120_S70_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	554457.0000000001	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	554052.8333333334	0.6408539558652198	False
sample_GMSUltra1_106_S147_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	886822.9999999999	Serum	PASS	miRNeasy (Qiagen)			False	882434.3333333333	0.4023720934097835	False
sample_LUExoRNeasyFP1_Idx22_S102_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	108555.0	Urine	PASS	miRNeasy (Qiagen)			False	108319.5	3.2779596471549444	False
sample_LUExoRNeasyFP2_Idx24_S104_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	124620.0	Urine	PASS	miRNeasy (Qiagen)			False	124334.50000000001	2.8557395574036164	False
sample_LUExoRNeasyMP1_Idx25_S105_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	84703.99999999999	Urine	PASS	miRNeasy (Qiagen)			True	84612.0	4.196413629272444	False
sample_LUExoRNeasyMP3_Idx29_S109_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	91233.0	Urine	PASS	miRNeasy (Qiagen)			True	91124.0	3.8965250647469385	False
sample_LUHomebrewFP2_Idx47_S151_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	85097.0	Urine	PASS	Other			True	84924.5	4.180971922119059	False
sample_LUHomebrewFP3_Idx34_S138_L004_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	95641.0	Urine	PASS	Other			True	95491.5	3.7183094830429937	False
