	dataset_id	library_size	biofluid	qc_status	isolation_method	reads_used_for_alignment	miRNA_sense_counts	low_miRNA_flag	library_size_computed	tmm_factor_proxy	is_outlier
sample_BFPExoQuick2_86_S119_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	66805.0	Plasma	PASS	SeraMir Kit (System Biosciences)			True	66738.0	5.3203115166771555	True
sample_BFPME2_80_fastq	EXR-LLAUR1AVB5CS-AN	65954.0	Plasma	PASS	miRNeasy (Qiagen)			True	65881.0	5.389519740137521	True
sample_BFPME3_81_S114_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	8389.0	Plasma	PASS	miRNeasy (Qiagen)			True	8382.0	42.36064781675018	True
sample_BFPUltra3_75_S109_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	67177.0	Plasma	PASS	miRNeasy (Qiagen)			True	67103.0	5.291372218827773	True
sample_BFPmiRCury1_91_S124_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	23688.0	Plasma	FAIL	Other			True	23630.0	15.026108760050784	True
sample_BFPmiRCury2_92_S125_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	15294.0	Plasma	FAIL	Other			True	15262.0	23.264771982702136	True
sample_BFPmiRCury3_93_S126_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	4842.0	Plasma	FAIL	Other			True	4827.0	73.55851460534494	True
sample_BFPmiRNeasy1_61_S104_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	26775.000000000004	Plasma	FAIL	miRNeasy (Qiagen)			True	26709.000000000004	13.293906548354485	True
sample_BFPmiRNeasy2_62_S98_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	14.0	Plasma	FAIL	miRNeasy (Qiagen)			True	14.0	25361.925	True
sample_BFPmiRNeasy3_63_S152_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1059194.9999999998	Plasma	PASS	miRNeasy (Qiagen)			False	1058229.3333333333	0.3355293024070397	True
sample_BFSExiqon1_7_S6_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1383533.0000000002	Serum	PASS	miRcury biofluids (Exiqon)			False	1381643.3	0.2569888697032005	True
sample_BFSExiqon2_8_S7_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1193651.0	Serum	PASS	miRcury biofluids (Exiqon)			False	1192333.9999999998	0.297791516471056	True
sample_BFSExiqon3_9_S8_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1335900.0	Serum	PASS	miRcury biofluids (Exiqon)			False	1334580.8333333333	0.26605128826341856	True
sample_BFSExoQuick1_37_S36_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1482731.9999999998	Serum	PASS	SeraMir Kit (System Biosciences)			False	1481873.5	0.2396067882987313	True
sample_BFSExoQuick2_38_S37_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1481404.9999999998	Serum	PASS	SeraMir Kit (System Biosciences)			False	1480294.2	0.2398624205917986	True
sample_BFSExoQuick3_39_S38_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1823627.9999999995	Serum	PASS	SeraMir Kit (System Biosciences)			False	1822376.6666666663	0.19483730037515118	True
sample_BFSExoRNeasy1_1_S1_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	926349.0	Serum	PASS	miRNeasy (Qiagen)			False	925605.9166666666	0.38360488368385	True
sample_BFSExoRNeasy2_2_S2_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1502754.0	Serum	PASS	miRNeasy (Qiagen)			False	1501497.3333333333	0.23647524515528057	True
sample_BFSExoRNeasy3_3_S3_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1683251.0000000002	Serum	PASS	miRNeasy (Qiagen)			False	1681773.8333333335	0.21112645646070324	True
sample_BFSUltra2_26_S25_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1940385.0	Serum	PASS	miRNeasy (Qiagen)			False	1938684.9999999995	0.1831483453990721	True
sample_BFSUltra3_27_S26_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1388951.0	Serum	PASS	miRNeasy (Qiagen)			False	1387632.5	0.25587967275197143	True
sample_BFSmiRNeasy2_14_S151_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1176039.0	Serum	PASS	miRNeasy (Qiagen)			False	1174175.5	0.30239683079744045	True
sample_BMPExoRNeasy2_53_S90_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	1272268.0	Plasma	PASS	miRNeasy (Qiagen)			False	1271085.6666666665	0.2793414789509336	True
sample_BMPExoRNeasy3_54_S91_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	1016160.0	Plasma	PASS	miRNeasy (Qiagen)			False	1015081.3333333334	0.3497916258927035	True
sample_BMPME3_84_S117_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	48273.0	Plasma	PASS	miRNeasy (Qiagen)			True	48245.99999999999	7.359510633005846	True
sample_BMPmiRCury1_94_S127_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	44268.0	Plasma	PASS	Other			True	44180.0	8.036825486645542	True
sample_BMPmiRNeasy3_66_S109_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	20918.000000000033	Plasma	FAIL	miRNeasy (Qiagen)			True	20883.500000000033	17.00227212871403	True
sample_BMSExiqon2_11_S10_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1379642.9999999998	Serum	PASS	miRcury biofluids (Exiqon)			False	1378537.6666666667	0.2575678260997825	True
sample_BMSExiqon3_12_S11_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1258042.0	Serum	PASS	miRcury biofluids (Exiqon)			False	1256886.738095238	0.2824971727668078	True
sample_BMSExoQuick1_40_S39_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1577471.9999999993	Serum	PASS	SeraMir Kit (System Biosciences)			False	1576247.0666666657	0.22526097431595551	True
sample_BMSExoQuick3_42_S41_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1046263.0	Serum	PASS	SeraMir Kit (System Biosciences)			False	1045461.5	0.3396269972638878	True
sample_BMSExoRNeasy2_5_S4_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1513429.0	Serum	PASS	miRNeasy (Qiagen)			False	1511998.5	0.2348328718580078	True
sample_BMSExoRNeasy3_6_S5_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2384237.0	Serum	PASS	miRNeasy (Qiagen)			False	2382216.5000000005	0.14904898442270043	True
sample_BMSUltra1_28_S27_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1263880.9999999998	Serum	PASS	miRNeasy (Qiagen)			False	1262723.8333333335	0.2811912950614828	True
sample_BMSUltra2_29_S28_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1800722.9999999998	Serum	PASS	miRNeasy (Qiagen)			False	1799096.5666666667	0.19735847234585166	True
sample_BMSUltra3_30_S29_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1452090.9999999995	Serum	PASS	miRNeasy (Qiagen)			False	1450522.1666666663	0.24478560766565335	True
sample_BMSmiRCury1_46_S45_L005_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	58356.0	Serum	PASS	Other			True	58273.0	6.093164072555043	True
sample_BMSmiRNeasy3_18_Idx2_S193_L001_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	22513.999999999996	Serum	PASS	miRNeasy (Qiagen)			True	22492.999999999996	15.78566442893345	True
sample_GFPExiqon1_123_fastq	EXR-LLAUR1AVB5CS-AN	1473737.0000000002	Plasma	PASS	miRcury biofluids (Exiqon)			False	1472562.3333333333	0.24112184724721333	True
sample_GFPExoRNeasy1_121_fastq	EXR-LLAUR1AVB5CS-AN	2404322.0000000005	Plasma	PASS	miRNeasy (Qiagen)			False	2399554.4	0.1479720359746793	True
sample_GFPNor1_133_fastq	EXR-LLAUR1AVB5CS-AN	1976007.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1973249.3333333335	0.17994023563165187	True
sample_GFPNor2_134_fastq	EXR-LLAUR1AVB5CS-AN	2466586.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2464208.8000000003	0.14408963639769487	True
sample_GFPNor3_135_S170_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	32324.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	32294.0	10.994827212485292	True
sample_GFSNor3_111_S106_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	19583.000000000004	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	19581.0	18.133238853991113	True
sample_GMPExiqon1_124_fastq	EXR-LLAUR1AVB5CS-AN	3406310.0	Plasma	PASS	miRcury biofluids (Exiqon)			False	3403330.4166666665	0.1043292617905035	True
sample_GMPExoRNeasy1_122_fastq	EXR-LLAUR1AVB5CS-AN	3849526.999999999	Plasma	PASS	miRNeasy (Qiagen)			False	3842805.5	0.09239784579261168	True
sample_GMPNor1_136_S171_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	26217.999999999996	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	26141.999999999996	13.582241221023642	True
sample_GMPNor2_137_fastq	EXR-LLAUR1AVB5CS-AN	2219073.0	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2210623.333333333	0.16061847563356943	True
sample_GMPNor3_138_S173_L008_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	2505548.0000000005	Plasma	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	2496446.883333334	0.14222892238183876	True
sample_GMPmiRNeasy1_126_S121_L007_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	26252.0	Plasma	FAIL	miRNeasy (Qiagen)			True	26031.0	13.640157888671201	True
sample_GMSNor1_112_S62_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	1060488.0	Serum	PASS	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			False	1059681.0833333335	0.3350696314056123	True
sample_GMSNor2_113_S99_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	3.0	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	3.0	118355.65000000001	True
sample_GMSNor3_114_S100_L003_R1_001_115_180_fastq	EXR-LLAUR1AVB5CS-AN	4.0	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	4.0	88766.7375	True
sample_GMSNor_Ami1_118_S68_L006_R1_001_125_160_fastq	EXR-LLAUR1AVB5CS-AN	76.0	Serum	FAIL	Plasma/Serum Circulating and Exosomal RNA Purification Kit(Norgen Biotek)			True	76.0	4671.933552631579	True
sample_LUExoQuickFP1_Idx14_S94_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	1933.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	1925.0	184.45036363636365	True
sample_LUExoQuickFP2_Idx16_S96_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	24549.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	24412.5	14.544473118279571	True
sample_LUExoQuickFP3_Idx17_S97_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	12866.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	12818.0	27.700651427679826	True
sample_LUExoQuickMP1_Idx2_S82_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	176.0	Urine	FAIL	SeraMir Kit (System Biosciences)			True	144.0	2465.742708333333	True
sample_LUExoQuickMP2_Idx4_S84_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	9678.000000000002	Urine	PASS	SeraMir Kit (System Biosciences)			True	9644.0	36.817394234757366	True
sample_LUExoQuickMP3_Idx6_S86_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	9731.0	Urine	PASS	SeraMir Kit (System Biosciences)			True	9697.333333333334	36.614906159769006	True
sample_LUExoRNeasyFP3_Idx26_S106_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	47190.99999999999	Urine	PASS	miRNeasy (Qiagen)			True	47107.0	7.537456216698155	True
sample_LUExoRNeasyMP2_Idx27_S107_L003_R1_001_fastq	EXR-LLAUR1AVB5CS-AN	63084.99999999999	Urine	PASS	miRNeasy (Qiagen)			True	62983.333333333336	5.637474728764223	True
