	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	biofluid
sample_BFPExiqon2_56_S93_L003_R1_001_115_180_fastq	11.686341537997956	-3.3783178253559907	-5.358359158449644	0.6847829958709433	3.1793149629195994	0.7196812650641425	-0.04325780823663319	3.451720513762205	3.278261480471512	1.3107487826719535	Plasma
sample_BFPExiqon3_57_S94_L003_R1_001_115_180_fastq	9.795814065075826	5.011035024267384	8.792391208111098	11.047392488080744	3.8081153172095945	1.1590604979392884	-2.2503012216299703	0.3570759323521794	1.469178199305781	1.3281367426120891	Plasma
sample_BFPExoQuick1_85_S118_L003_R1_001_115_180_fastq	5.466574783957028	0.7684655376313844	0.8275720717434871	-2.9438207775382783	0.21597588380522187	6.050419265006481	0.17989536298482411	-1.1226827035977796	-2.5090506019535175	1.9975694001000686	Plasma
sample_BFPExoQuick2_86_S119_L003_R1_001_115_180_fastq	0.6251303888746019	1.264540677982163	3.569154725109101	-0.996203651425413	-1.2036297111195662	5.606630164880842	0.07727941580419351	-2.631842833769626	-1.566354262932322	0.8354928162517875	Plasma
sample_BFPExoQuick3_87_S120_L003_R1_001_115_180_fastq	5.436072698533819	-1.5322641134752586	-1.5764511117406241	-4.831761667386549	-0.7101816606106189	4.1751448090111625	0.9629655371733226	-1.3765965719712754	-4.162194549968588	1.9385589503226524	Plasma
sample_BFPExoRNeasy1_49_S87_L003_R1_001_115_180_fastq	9.06626452898255	-4.565559467321924	-6.640254766815015	1.9687045487830737	-1.7462209029134912	-3.3133234825413003	1.2871426758263529	0.5797787728097652	0.3170512564482065	-1.4432086287906953	Plasma
sample_BFPExoRNeasy2_50_S88_L003_R1_001_115_180_fastq	10.698631999171829	-3.632025103287425	-6.576048307171718	2.659961665724234	-0.09564888445068688	-3.5160830135181267	1.2356835104256427	1.2925097913418455	-1.095030792675131	-1.7012063906899937	Plasma
sample_BFPExoRNeasy3_51_S89_L003_R1_001_115_180_fastq	10.796702731828928	-4.503245524306788	-6.9761342286834385	2.4371732094773875	-0.6017942892064412	-3.1238905007794906	2.930083944182837	0.5746459051189874	0.2502324116194325	0.6240574020629889	Plasma
sample_BFPME1_79_fastq	0.3847711399957935	-1.4344794433332522	0.43648237682353497	-3.552563126193059	-5.791514932555144	0.5954612602951841	-2.148302860906534	2.244155036090618	-1.0261456570742107	0.40312990486674144	Plasma
sample_BFPME2_80_fastq	-1.994230022252062	-2.269110371657045	-0.996374343577761	-3.0580760942035954	-6.119470383083778	-1.9777038097607265	-2.459604675999416	-1.283599459534991	-0.3697528194914799	-2.458111012233837	Plasma
